qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q1,q2
9356.0,1082,1.0,131.0,12.0,2022.0,9.0,7.0,villeneuve,52.5,40.0,12.0,20.0,79092.0,14749.0,14408.5,0.0,0.0,0,-8298.0,-8254.0,0.0,0.0,12.0,20.0,93841.0,85543.0
9360.0,1082,847.0,131.0,7.0,2022.0,9.0,7.0,villeneuve,52.5,65.0,7.0,20.0,79092.0,14068.0,14408.5,0.0,0.0,0,-8210.0,-8254.0,0.0,0.0,10.0,20.0,93160.0,84950.0
9354.0,1082,4.0,214.0,2.0,2022.0,9.0,7.0,villeneuve,80.0,90.0,2.0,20.0,79092.0,13185.0,13552.5,0.0,0.0,0,-7429.0,-7153.0,0.0,0.0,9.0,20.0,92277.0,84848.0
9359.0,1082,839.0,214.0,6.0,2022.0,9.0,7.0,villeneuve,80.0,70.0,6.0,20.0,79092.0,13920.0,13552.5,0.0,0.0,0,-6877.0,-7153.0,0.0,0.0,15.0,20.0,93012.0,86135.0
9369.0,1082,20.0,117.0,17.0,2022.0,9.0,7.0,villeneuve,12.5,15.0,17.0,20.0,79092.0,15420.0,15930.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4.0,20.0,94512.0,0.0
9370.0,1082,840.0,117.0,18.0,2022.0,9.0,7.0,villeneuve,12.5,10.0,18.0,20.0,79092.0,16440.0,15930.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4.0,20.0,95532.0,0.0
9365.0,1082,815.0,9.0,13.0,2022.0,9.0,7.0,villeneuve,65.0,35.0,13.0,20.0,79092.0,14837.0,13982.0,0.0,0.0,0,-802.0,-4637.5,0.0,0.0,20.0,20.0,93929.0,93127.0
9353.0,1082,830.0,9.0,1.0,2022.0,9.0,7.0,villeneuve,65.0,95.0,1.0,20.0,79092.0,13127.0,13982.0,0.0,0.0,0,-8473.0,-4637.5,0.0,0.0,8.0,20.0,92219.0,83746.0
9361.0,1082,817.0,1.0,8.0,2022.0,9.0,7.0,villeneuve,42.5,60.0,8.0,20.0,79092.0,14544.0,14759.0,0.0,0.0,0,-7261.0,-3630.5,0.0,0.0,17.0,20.0,93636.0,86375.0
9366.0,1082,846.0,1.0,15.0,2022.0,9.0,7.0,villeneuve,42.5,25.0,15.0,20.0,79092.0,14974.0,14759.0,0.0,0.0,0,0.0,-3630.5,0.0,0.0,4.0,20.0,94066.0,0.0
