qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10015.0,1.0,131.0,2024.0,9.0,7.0,6.0,3.0,79092.0,2462.0,2584.0,0,-1128.0,-1414.0,10.0,15.0,0,7201.0,7498.0,15.0,87781.7,3.0
10020.0,847.0,131.0,2024.0,9.0,7.0,1.0,4.0,79092.0,2706.0,2584.0,0,-1700.0,-1414.0,5.0,12.0,0,7795.0,7498.0,16.0,88078.14,4.0
10017.0,4.0,117.0,2024.0,9.0,7.0,4.0,2.0,79092.0,2389.0,2987.0,0,-1705.0,-1449.0,9.0,10.0,0,7510.0,3755.0,14.0,88259.75,7.0
10025.0,840.0,117.0,2024.0,9.0,7.0,3.0,14.0,79092.0,3585.0,2987.0,0,-1193.0,-1449.0,7.0,18.0,0,0.0,3755.0,6.0,88143.28,5.0
10014.0,830.0,9.0,2024.0,9.0,7.0,8.0,1.0,79092.0,1759.0,2409.0,0,-1759.0,-1475.5,4.0,7.0,0,6766.0,3383.0,12.0,88152.01,6.0
10013.0,844.0,6.0,2024.0,9.0,7.0,2.0,5.0,79092.0,2751.0,2953.5,0,-1228.0,-1810.0,3.0,16.0,0,0.0,4719.0,6.0,90952.445,9.0
10024.0,839.0,214.0,2024.0,9.0,7.0,7.0,8.0,79092.0,3022.0,3408.0,0,-1708.0,-854.0,8.0,14.0,0,7539.0,3769.5,17.0,87727.06,1.0
10023.0,842.0,214.0,2024.0,9.0,7.0,5.0,17.0,79092.0,3794.0,3408.0,0,0.0,-854.0,6.0,3.0,0,0.0,3769.5,6.0,87728.06,2.0
10026.0,846.0,1.0,2024.0,9.0,7.0,11.0,7.0,79092.0,2906.0,3002.0,0,-2651.0,-2591.0,2.0,8.0,0,8699.0,10194.5,18.0,90955.445,10.0
10028.0,848.0,3.0,2024.0,9.0,7.0,10.0,6.0,79092.0,2846.0,3545.5,0,-3213.0,-1606.5,1.0,6.0,0,0.0,0.0,6.0,90919.42,8.0
