qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10315.0,1.0,131.0,2024.0,24.0,24.0,5.0,8.5,83445.0,2149.0,2124.5,0,-820.0,-712.5,10.0,85284.64,4.0
10317.0,4.0,117.0,2024.0,24.0,24.0,3.0,15.0,83445.0,2337.0,2313.5,0,-686.0,-707.0,16.0,85272.76,3.0
10325.0,840.0,117.0,2024.0,24.0,24.0,9.0,13.0,83445.0,2296.0,2187.0,0,-382.0,-465.5,19.0,85365.54,14.0
10332.0,807.0,213.0,2024.0,24.0,24.0,12.0,20.0,83445.0,0.0,0.0,0,0.0,0.0,20.0,85336.266,11.0
10331.0,817.0,213.0,2024.0,24.0,24.0,8.0,14.0,83445.0,2321.0,2131.5,0,-698.0,-591.0,15.0,85320.97,8.0
10319.0,815.0,9.0,2024.0,24.0,24.0,6.0,2.0,83445.0,1375.0,1342.0,0,-401.0,-266.5,6.0,85299.4,6.0
10314.0,830.0,9.0,2024.0,24.0,24.0,7.0,1.0,83445.0,1309.0,1342.0,0,-132.0,-266.5,9.0,85315.84,7.0
10322.0,822.0,51.0,2024.0,24.0,24.0,4.0,18.0,83445.0,2447.0,2298.0,0,0.0,-93.0,3.0,85269.59,2.0
10329.0,855.0,51.0,2024.0,24.0,24.0,15.0,8.5,83445.0,2149.0,2298.0,0,-186.0,-93.0,20.0,85367.24,15.0
10316.0,832.0,6.0,2024.0,24.0,24.0,13.0,3.0,83445.0,1645.0,1705.5,0,-569.0,-631.5,8.0,85345.74,12.0
10313.0,844.0,6.0,2024.0,24.0,24.0,14.0,4.0,83445.0,1766.0,1705.5,0,-694.0,-631.5,7.0,85345.945,13.0
10324.0,839.0,214.0,2024.0,24.0,24.0,10.0,12.0,83445.0,2290.0,2313.5,0,-728.0,-707.0,14.0,85331.61,10.0
10323.0,842.0,214.0,2024.0,24.0,24.0,10.0,17.0,83445.0,2414.0,2299.5,0,0.0,-205.5,3.0,85327.23,9.0
10326.0,846.0,1.0,2024.0,24.0,24.0,1.0,5.0,83445.0,1942.0,2131.5,0,-484.0,-591.0,11.0,85268.65,1.0
10318.0,857.0,1.0,2024.0,24.0,24.0,2.0,20.0,83445.0,0.0,0.0,0,0.0,0.0,20.0,85295.94,5.0
