qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,driver_q3vsq2,car_q3vsq2,previous_driver_q3vsq2,previous_car_q3vsq2,position_q3,previous_year_position_q3,q1,q2,q3
9157.0,1073,1.0,131.0,1.0,2021.0,22.0,24.0,yas_marina,92.5,95.0,1.0,20.0,83445.0,-600.0,-464.0,0.0,0.0,0,300.0,214.5,0.0,0.0,8.0,20.0,0,-665.0,-437.5,0.0,0.0,12.0,20.0,82845.0,83145.0,82480.0
9161.0,1073,822.0,131.0,2.0,2021.0,22.0,24.0,yas_marina,92.5,90.0,2.0,20.0,83445.0,-328.0,-464.0,0.0,0.0,0,129.0,214.5,0.0,0.0,11.0,20.0,1,-210.0,-437.5,0.0,0.0,16.0,20.0,83117.0,83246.0,83036.0
9166.0,1073,4.0,214.0,12.0,2021.0,22.0,24.0,yas_marina,45.0,40.0,12.0,20.0,83445.0,401.0,360.0,0.0,0.0,0,-386.0,-365.0,0.0,0.0,16.0,20.0,1,0.0,-15.5,0.0,0.0,5.5,20.0,83846.0,83460.0,0.0
9164.0,1073,839.0,214.0,10.0,2021.0,22.0,24.0,yas_marina,45.0,50.0,10.0,20.0,83445.0,319.0,360.0,0.0,0.0,0,-344.0,-365.0,0.0,0.0,14.0,20.0,1,-31.0,-15.5,0.0,0.0,19.0,20.0,83764.0,83420.0,83389.0
9173.0,1073,8.0,51.0,18.0,2021.0,22.0,24.0,yas_marina,20.0,10.0,18.0,20.0,83445.0,1334.0,1003.5,0.0,0.0,1,0.0,66.5,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,84779.0,0.0,0.0
9169.0,1073,841.0,51.0,14.0,2021.0,22.0,24.0,yas_marina,20.0,30.0,14.0,20.0,83445.0,673.0,1003.5,0.0,0.0,0,133.0,66.5,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,84118.0,84251.0,0.0
9170.0,1073,20.0,117.0,15.0,2021.0,22.0,24.0,yas_marina,30.0,25.0,15.0,20.0,83445.0,780.0,698.0,0.0,0.0,0,80.0,42.5,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,84225.0,84305.0,0.0
9168.0,1073,840.0,117.0,13.0,2021.0,22.0,24.0,yas_marina,30.0,35.0,13.0,20.0,83445.0,616.0,698.0,0.0,0.0,0,5.0,42.5,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,84061.0,84066.0,0.0
9159.0,1073,815.0,9.0,4.0,2021.0,22.0,24.0,yas_marina,82.5,80.0,4.0,20.0,83445.0,-95.0,-109.0,0.0,0.0,0,-215.0,-368.5,0.0,0.0,7.0,20.0,0,-188.0,-439.5,0.0,0.0,14.0,20.0,83350.0,83135.0,82947.0
9156.0,1073,830.0,9.0,3.0,2021.0,22.0,24.0,yas_marina,82.5,85.0,3.0,20.0,83445.0,-123.0,-109.0,0.0,0.0,0,-522.0,-368.5,0.0,0.0,6.0,20.0,0,-691.0,-439.5,0.0,0.0,11.0,20.0,83322.0,82800.0,82109.0
9165.0,1073,817.0,1.0,11.0,2021.0,22.0,24.0,yas_marina,52.5,45.0,11.0,20.0,83445.0,384.0,246.0,0.0,0.0,0,-381.0,-339.0,0.0,0.0,15.0,20.0,1,-39.0,-182.0,0.0,0.0,20.0,20.0,83829.0,83448.0,83409.0
9158.0,1073,846.0,1.0,8.0,2021.0,22.0,24.0,yas_marina,52.5,60.0,8.0,20.0,83445.0,108.0,246.0,0.0,0.0,0,-297.0,-339.0,0.0,0.0,12.0,20.0,1,-325.0,-182.0,0.0,0.0,13.0,20.0,83553.0,83256.0,82931.0
9160.0,1073,832.0,6.0,9.0,2021.0,22.0,24.0,yas_marina,62.5,55.00000000000001,9.0,20.0,83445.0,179.0,100.5,0.0,0.0,0,-450.0,-357.5,0.0,0.0,9.0,20.0,0,-182.0,-131.0,0.0,0.0,15.0,20.0,83624.0,83174.0,82992.0
9162.0,1073,844.0,6.0,6.0,2021.0,22.0,24.0,yas_marina,62.5,70.0,6.0,20.0,83445.0,22.0,100.5,0.0,0.0,0,-265.0,-357.5,0.0,0.0,10.0,20.0,0,-80.0,-131.0,0.0,0.0,17.0,20.0,83467.0,83202.0,83122.0
9167.0,1073,842.0,213.0,7.0,2021.0,22.0,24.0,yas_marina,70.0,65.0,7.0,20.0,83445.0,44.0,13.5,0.0,0.0,0,554.0,265.0,0.0,0.0,17.0,20.0,1,0.0,-92.0,0.0,0.0,5.5,20.0,83489.0,84043.0,0.0
9163.0,1073,852.0,213.0,5.0,2021.0,22.0,24.0,yas_marina,70.0,75.0,5.0,20.0,83445.0,-17.0,13.5,0.0,0.0,0,-24.0,265.0,0.0,0.0,13.0,20.0,1,-184.0,-92.0,0.0,0.0,18.0,20.0,83428.0,83404.0,83220.0
9172.0,1073,847.0,3.0,17.0,2021.0,22.0,24.0,yas_marina,17.5,15.0,17.0,20.0,83445.0,978.0,935.5,0.0,0.0,1,0.0,0.0,0.0,0.0,17.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,84423.0,0.0,0.0
9171.0,1073,849.0,3.0,16.0,2021.0,22.0,24.0,yas_marina,17.5,20.0,16.0,20.0,83445.0,893.0,935.5,0.0,0.0,1,0.0,0.0,0.0,0.0,16.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,84338.0,0.0,0.0
9175.0,1073,853.0,210.0,20.0,2021.0,22.0,24.0,yas_marina,2.5,0.0,20.0,20.0,83445.0,2240.0,1850.5,0.0,0.0,1,0.0,0.0,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,85685.0,0.0,0.0
9174.0,1073,854.0,210.0,19.0,2021.0,22.0,24.0,yas_marina,2.5,5.0,19.0,20.0,83445.0,1461.0,1850.5,0.0,0.0,1,0.0,0.0,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,84906.0,0.0,0.0
9617.0,1096,1.0,131.0,8.0,2022.0,22.0,24.0,yas_marina,62.5,60.0,8.5,1.0,83445.0,2149.0,2124.5,-600.0,-464.0,0,-820.0,-712.5,300.0,214.5,10.0,8.0,0,-266.0,-347.5,-665.0,-437.5,15.0,12.0,85594.0,84774.0,84508.0
9618.0,1096,847.0,131.0,7.0,2022.0,22.0,24.0,yas_marina,62.5,65.0,7.0,17.0,83445.0,2100.0,2124.5,978.0,935.5,0,-605.0,-712.5,0.0,0.0,12.0,3.0,1,-429.0,-347.5,0.0,0.0,16.0,5.5,85545.0,84940.0,84511.0
9623.0,1096,4.0,214.0,15.0,2022.0,22.0,24.0,yas_marina,32.5,25.0,15.0,12.0,83445.0,2337.0,2313.5,401.0,360.0,0,-686.0,-707.0,-386.0,-365.0,16.0,16.0,1,0.0,-88.5,0.0,-15.5,5.5,5.5,85782.0,85096.0,0.0
9620.0,1096,839.0,214.0,12.0,2022.0,22.0,24.0,yas_marina,32.5,40.0,12.0,10.0,83445.0,2290.0,2313.5,319.0,360.0,0,-728.0,-707.0,-344.0,-365.0,14.0,14.0,1,-177.0,-88.5,-31.0,-15.5,18.0,19.0,85735.0,85007.0,84830.0
9621.0,1096,20.0,117.0,6.0,2022.0,22.0,24.0,yas_marina,52.5,70.0,6.0,15.0,83445.0,2078.0,2187.0,780.0,698.0,0,-549.0,-465.5,80.0,42.5,13.0,20.0,1,-13.0,-6.5,0.0,0.0,19.0,5.5,85523.0,84974.0,84961.0
9626.0,1096,840.0,117.0,13.0,2022.0,22.0,24.0,yas_marina,52.5,35.0,13.0,13.0,83445.0,2296.0,2187.0,616.0,698.0,0,-382.0,-465.5,5.0,42.5,19.0,18.0,1,0.0,-6.5,0.0,0.0,5.5,5.5,85741.0,85359.0,0.0
9614.0,1096,815.0,9.0,2.0,2022.0,22.0,24.0,yas_marina,92.5,90.0,2.0,4.0,83445.0,1375.0,1342.0,-95.0,-109.0,0,-401.0,-266.5,-215.0,-368.5,6.0,7.0,0,-367.0,-582.5,-188.0,-439.5,12.0,14.0,84820.0,84419.0,84052.0
9613.0,1096,830.0,9.0,1.0,2022.0,22.0,24.0,yas_marina,92.5,95.0,1.0,3.0,83445.0,1309.0,1342.0,-123.0,-109.0,0,-132.0,-266.5,-522.0,-368.5,9.0,6.0,0,-798.0,-582.5,-691.0,-439.5,11.0,11.0,84754.0,84622.0,83824.0
9622.0,1096,817.0,1.0,14.0,2022.0,22.0,24.0,yas_marina,52.5,30.0,14.0,11.0,83445.0,2321.0,2131.5,384.0,246.0,0,-698.0,-591.0,-381.0,-339.0,15.0,15.0,1,-23.0,-78.5,-39.0,-182.0,20.0,20.0,85766.0,85068.0,85045.0
9619.0,1096,846.0,1.0,5.0,2022.0,22.0,24.0,yas_marina,52.5,75.0,5.0,8.0,83445.0,1942.0,2131.5,108.0,246.0,0,-484.0,-591.0,-297.0,-339.0,11.0,12.0,1,-134.0,-78.5,-325.0,-182.0,17.0,13.0,85387.0,84903.0,84769.0
9630.0,1096,822.0,51.0,18.0,2022.0,22.0,24.0,yas_marina,32.5,10.0,18.0,2.0,83445.0,2447.0,2298.0,-328.0,-464.0,1,0.0,-93.0,129.0,214.5,18.0,11.0,1,0.0,0.0,-210.0,-437.5,5.5,16.0,85892.0,0.0,0.0
9627.0,1096,855.0,51.0,9.0,2022.0,22.0,24.0,yas_marina,32.5,55.00000000000001,8.5,20.0,83445.0,2149.0,2298.0,0.0,0.0,0,-186.0,-93.0,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,85594.0,85408.0,0.0
9628.0,1096,825.0,210.0,16.0,2022.0,22.0,24.0,yas_marina,32.5,20.0,16.0,20.0,83445.0,2389.0,2327.5,0.0,0.0,1,0.0,-243.0,0.0,0.0,16.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,85834.0,0.0,0.0
9625.0,1096,854.0,210.0,11.0,2022.0,22.0,24.0,yas_marina,32.5,45.0,11.0,19.0,83445.0,2266.0,2327.5,1461.0,1850.5,0,-486.0,-243.0,0.0,0.0,18.0,3.0,1,0.0,0.0,0.0,0.0,5.5,5.5,85711.0,85225.0,0.0
9616.0,1096,832.0,6.0,3.0,2022.0,22.0,24.0,yas_marina,82.5,85.0,3.0,9.0,83445.0,1645.0,1705.5,179.0,100.5,0,-569.0,-631.5,-450.0,-357.5,8.0,9.0,0,-279.0,-352.0,-182.0,-131.0,14.0,15.0,85090.0,84521.0,84242.0
9615.0,1096,844.0,6.0,4.0,2022.0,22.0,24.0,yas_marina,82.5,80.0,4.0,6.0,83445.0,1766.0,1705.5,22.0,100.5,0,-694.0,-631.5,-265.0,-357.5,7.0,10.0,0,-425.0,-352.0,-80.0,-131.0,13.0,17.0,85211.0,84517.0,84092.0
9629.0,1096,842.0,213.0,17.0,2022.0,22.0,24.0,yas_marina,32.5,15.0,17.0,7.0,83445.0,2414.0,2299.5,44.0,13.5,1,0.0,-205.5,554.0,265.0,17.0,17.0,1,0.0,0.0,0.0,-92.0,5.5,5.5,85859.0,0.0,0.0
9624.0,1096,852.0,213.0,10.0,2022.0,22.0,24.0,yas_marina,32.5,50.0,10.0,5.0,83445.0,2185.0,2299.5,-17.0,13.5,0,-411.0,-205.5,-24.0,265.0,17.0,13.0,1,0.0,0.0,-184.0,-92.0,5.5,18.0,85630.0,85219.0,0.0
9631.0,1096,848.0,3.0,19.0,2022.0,22.0,24.0,yas_marina,2.5,5.0,19.0,20.0,83445.0,2583.0,2596.0,0.0,0.0,1,0.0,0.0,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,86028.0,0.0,0.0
9632.0,1096,849.0,3.0,20.0,2022.0,22.0,24.0,yas_marina,2.5,0.0,20.0,16.0,83445.0,2609.0,2596.0,893.0,935.5,1,0.0,0.0,0.0,0.0,20.0,3.0,1,0.0,0.0,0.0,0.0,5.5,5.5,86054.0,0.0,0.0
10315.0,1133,1.0,131.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,5.0,8.5,83445.0,,,2149.0,2124.5,0,,,-820.0,-712.5,4.0,10.0,0,,,-266.0,-347.5,,15.0,85521.5703125,85284.64,
10320.0,1133,847.0,131.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,16.0,7.0,83445.0,,,2100.0,2124.5,1,,,-605.0,-712.5,16.0,12.0,1,,,-429.0,-347.5,,16.0,85549.78125,0.0,
10317.0,1133,4.0,117.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,3.0,15.0,83445.0,,,2337.0,2313.5,0,,,-686.0,-707.0,3.0,16.0,0,,,0.0,-88.5,,5.5,85520.4609375,85272.76,
10325.0,1133,840.0,117.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,9.0,13.0,83445.0,,,2296.0,2187.0,0,,,-382.0,-465.5,14.0,19.0,1,,,0.0,-6.5,,5.5,85531.609375,85365.54,
10332.0,1133,807.0,213.0,0.0,2024.0,24.0,24.0,yas_marina,150.0,100.0,12.0,20.0,83445.0,,,0.0,0.0,0,,,0.0,0.0,11.0,20.0,1,,,0.0,0.0,,20.0,85537.234375,85336.266,
10331.0,1133,817.0,213.0,0.0,2024.0,24.0,24.0,yas_marina,150.0,100.0,8.0,14.0,83445.0,,,2321.0,2131.5,0,,,-698.0,-591.0,8.0,15.0,0,,,-23.0,-78.5,,20.0,85525.9140625,85320.97,
10321.0,1133,852.0,213.0,0.0,2024.0,24.0,24.0,yas_marina,150.0,100.0,17.0,10.0,83445.0,,,2185.0,2299.5,1,,,-411.0,-205.5,17.0,17.0,1,,,0.0,0.0,,5.5,85554.2109375,0.0,
10319.0,1133,815.0,9.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,6.0,2.0,83445.0,,,1375.0,1342.0,0,,,-401.0,-266.5,6.0,6.0,0,,,-367.0,-582.5,,12.0,85523.4765625,85299.4,
10314.0,1133,830.0,9.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,7.0,1.0,83445.0,,,1309.0,1342.0,0,,,-132.0,-266.5,7.0,9.0,0,,,-798.0,-582.5,,11.0,85525.71875,85315.84,
10322.0,1133,822.0,51.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,4.0,18.0,83445.0,,,2447.0,2298.0,0,,,0.0,-93.0,2.0,3.0,0,,,0.0,0.0,,5.5,85520.890625,85269.59,
10329.0,1133,855.0,51.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,15.0,8.5,83445.0,,,2149.0,2298.0,0,,,-186.0,-93.0,15.0,20.0,1,,,0.0,0.0,,5.5,85549.1875,85367.24,
10327.0,1133,825.0,210.0,0.0,2024.0,24.0,24.0,yas_marina,50.0,100.0,20.0,16.0,83445.0,,,2389.0,2327.5,1,,,0.0,-243.0,20.0,3.0,1,,,0.0,0.0,,5.5,85654.03125,0.0,
10316.0,1133,832.0,6.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,13.0,3.0,83445.0,,,1645.0,1705.5,0,,,-569.0,-631.5,12.0,8.0,1,,,-279.0,-352.0,,14.0,85538.1015625,85345.74,
10313.0,1133,844.0,6.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,14.0,4.0,83445.0,,,1766.0,1705.5,0,,,-694.0,-631.5,13.0,7.0,1,,,-425.0,-352.0,,13.0,85547.4921875,85345.945,
10324.0,1133,839.0,214.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,10.0,12.0,83445.0,,,2290.0,2313.5,0,,,-728.0,-707.0,10.0,14.0,0,,,-177.0,-88.5,,18.0,85536.6328125,85331.61,
10323.0,1133,842.0,214.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,10.0,17.0,83445.0,,,2414.0,2299.5,0,,,0.0,-205.5,9.0,3.0,0,,,0.0,0.0,,5.5,85536.6328125,85327.23,
10326.0,1133,846.0,1.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,1.0,5.0,83445.0,,,1942.0,2131.5,0,,,-484.0,-591.0,1.0,11.0,0,,,-134.0,-78.5,,17.0,85503.8125,85268.65,
10318.0,1133,857.0,1.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,2.0,20.0,83445.0,,,0.0,0.0,0,,,0.0,0.0,5.0,20.0,0,,,0.0,0.0,,20.0,85510.28125,85295.94,
10328.0,1133,848.0,3.0,0.0,2024.0,24.0,24.0,yas_marina,100.0,100.0,18.0,19.0,83445.0,,,2583.0,2596.0,1,,,0.0,0.0,18.0,3.0,1,,,0.0,0.0,,5.5,85554.75,0.0,
