qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10315.0,1.0,131.0,2024.0,24.0,24.0,5.0,8.5,83445.0,2149.0,2124.5,0,-820.0,-712.5,4.0,10.0,0,-266.0,-347.5,15.0,84436.266,10.0
10317.0,4.0,117.0,2024.0,24.0,24.0,3.0,15.0,83445.0,2337.0,2313.5,0,-686.0,-707.0,3.0,16.0,0,0.0,-88.5,5.5,84433.95,9.0
10331.0,817.0,213.0,2024.0,24.0,24.0,8.0,14.0,83445.0,2321.0,2131.5,0,-698.0,-591.0,8.0,15.0,0,-23.0,-78.5,20.0,84386.14,5.0
10319.0,815.0,9.0,2024.0,24.0,24.0,6.0,2.0,83445.0,1375.0,1342.0,0,-401.0,-266.5,6.0,6.0,0,-367.0,-582.5,12.0,84374.67,3.0
10314.0,830.0,9.0,2024.0,24.0,24.0,7.0,1.0,83445.0,1309.0,1342.0,0,-132.0,-266.5,7.0,9.0,0,-798.0,-582.5,11.0,84375.67,4.0
10322.0,822.0,51.0,2024.0,24.0,24.0,4.0,18.0,83445.0,2447.0,2298.0,0,0.0,-93.0,2.0,3.0,0,0.0,0.0,5.5,84392.03,7.0
10324.0,839.0,214.0,2024.0,24.0,24.0,10.0,12.0,83445.0,2290.0,2313.5,0,-728.0,-707.0,10.0,14.0,0,-177.0,-88.5,18.0,84390.32,6.0
10323.0,842.0,214.0,2024.0,24.0,24.0,10.0,17.0,83445.0,2414.0,2299.5,0,0.0,-205.5,9.0,3.0,0,0.0,0.0,5.5,84401.52,8.0
10326.0,846.0,1.0,2024.0,24.0,24.0,1.0,5.0,83445.0,1942.0,2131.5,0,-484.0,-591.0,1.0,11.0,0,-134.0,-78.5,17.0,84342.21,2.0
10318.0,857.0,1.0,2024.0,24.0,24.0,2.0,20.0,83445.0,0.0,0.0,0,0.0,0.0,5.0,20.0,0,0.0,0.0,20.0,84306.6,1.0
