qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q1
8978.0,1064,844.0,6.0,1.0,2021.0,13.0,39.0,zandvoort,92.5,95.0,1.0,20.0,70567.0,-738.0,-641.5,0.0,0.0,69829.0
8979.0,1064,832.0,6.0,2.0,2021.0,13.0,39.0,zandvoort,92.5,90.0,2.0,20.0,70567.0,-545.0,-641.5,0.0,0.0,70022.0
8974.0,1064,830.0,9.0,3.0,2021.0,13.0,39.0,zandvoort,52.5,85.0,3.0,20.0,70567.0,-531.0,-284.0,0.0,0.0,70036.0
8989.0,1064,815.0,9.0,16.0,2021.0,13.0,39.0,zandvoort,52.5,20.0,16.0,20.0,70567.0,-37.0,-284.0,0.0,0.0,70530.0
8980.0,1064,841.0,51.0,4.0,2021.0,13.0,39.0,zandvoort,45.0,80.0,4.0,20.0,70567.0,-517.0,108.5,0.0,0.0,70050.0
8991.0,1064,9.0,51.0,18.0,2021.0,13.0,39.0,zandvoort,45.0,10.0,18.0,20.0,70567.0,734.0,108.5,0.0,0.0,71301.0
8987.0,1064,849.0,3.0,5.0,2021.0,13.0,39.0,zandvoort,60.0,75.0,5.0,20.0,70567.0,-474.0,-329.5,0.0,0.0,70093.0
8984.0,1064,847.0,3.0,11.0,2021.0,13.0,39.0,zandvoort,60.0,45.0,11.0,20.0,70567.0,-185.0,-329.5,0.0,0.0,70382.0
8975.0,1064,1.0,131.0,6.0,2021.0,13.0,39.0,zandvoort,65.0,70.0,6.0,20.0,70567.0,-453.0,-400.5,0.0,0.0,70114.0
8976.0,1064,822.0,131.0,8.0,2021.0,13.0,39.0,zandvoort,65.0,60.0,8.0,20.0,70567.0,-348.0,-400.5,0.0,0.0,70219.0
8981.0,1064,839.0,214.0,7.0,2021.0,13.0,39.0,zandvoort,52.5,65.0,7.0,20.0,70567.0,-388.0,-260.0,0.0,0.0,70179.0
8982.0,1064,4.0,214.0,12.0,2021.0,13.0,39.0,zandvoort,52.5,40.0,12.0,20.0,70567.0,-132.0,-260.0,0.0,0.0,70435.0
8983.0,1064,817.0,1.0,9.0,2021.0,13.0,39.0,zandvoort,40.0,55.00000000000001,9.0,20.0,70567.0,-312.0,-195.0,0.0,0.0,70255.0
8986.0,1064,846.0,1.0,15.0,2021.0,13.0,39.0,zandvoort,40.0,25.0,15.0,20.0,70567.0,-78.0,-195.0,0.0,0.0,70489.0
8977.0,1064,842.0,213.0,10.0,2021.0,13.0,39.0,zandvoort,40.0,50.0,10.0,20.0,70567.0,-293.0,-199.0,0.0,0.0,70274.0
8988.0,1064,852.0,213.0,14.0,2021.0,13.0,39.0,zandvoort,40.0,30.0,14.0,20.0,70567.0,-105.0,-199.0,0.0,0.0,70462.0
8985.0,1064,840.0,117.0,13.0,2021.0,13.0,39.0,zandvoort,25.0,35.0,13.0,20.0,70567.0,-129.0,17.5,0.0,0.0,70438.0
8990.0,1064,20.0,117.0,17.0,2021.0,13.0,39.0,zandvoort,25.0,15.0,17.0,20.0,70567.0,164.0,17.5,0.0,0.0,70731.0
8992.0,1064,854.0,210.0,19.0,2021.0,13.0,39.0,zandvoort,2.5,5.0,19.0,20.0,70567.0,820.0,1064.0,0.0,0.0,71387.0
8993.0,1064,853.0,210.0,20.0,2021.0,13.0,39.0,zandvoort,2.5,0.0,20.0,20.0,70567.0,1308.0,1064.0,0.0,0.0,71875.0
9473.0,1088,830.0,9.0,1.0,2022.0,15.0,39.0,zandvoort,77.5,95.0,1.0,3.0,70567.0,750.0,912.0,-531.0,-284.0,71317.0
9477.0,1088,815.0,9.0,8.0,2022.0,15.0,39.0,zandvoort,77.5,60.0,8.0,16.0,70567.0,1074.0,912.0,-37.0,-284.0,71641.0
9476.0,1088,1.0,131.0,2.0,2022.0,15.0,39.0,zandvoort,80.0,90.0,2.0,6.0,70567.0,764.0,879.0,-453.0,-400.5,71331.0
9478.0,1088,847.0,131.0,6.0,2022.0,15.0,39.0,zandvoort,80.0,70.0,6.0,11.0,70567.0,994.0,879.0,-185.0,-329.5,71561.0
9481.0,1088,852.0,213.0,3.0,2022.0,15.0,39.0,zandvoort,65.0,85.0,3.0,14.0,70567.0,860.0,999.0,-105.0,-199.0,71427.0
9483.0,1088,842.0,213.0,11.0,2022.0,15.0,39.0,zandvoort,65.0,45.0,11.0,10.0,70567.0,1138.0,999.0,-293.0,-199.0,71705.0
9474.0,1088,844.0,6.0,4.0,2022.0,15.0,39.0,zandvoort,55.0,80.0,4.0,1.0,70567.0,876.0,1038.0,-738.0,-641.5,71443.0
9475.0,1088,832.0,6.0,14.0,2022.0,15.0,39.0,zandvoort,55.0,30.0,14.0,2.0,70567.0,1200.0,1038.0,-545.0,-641.5,71767.0
9479.0,1088,846.0,1.0,5.0,2022.0,15.0,39.0,zandvoort,45.0,75.0,5.0,15.0,70567.0,989.0,1251.5,-78.0,-195.0,71556.0
9489.0,1088,817.0,1.0,17.0,2022.0,15.0,39.0,zandvoort,45.0,15.0,17.0,9.0,70567.0,1514.0,1251.5,-312.0,-195.0,72081.0
9482.0,1088,840.0,117.0,7.0,2022.0,15.0,39.0,zandvoort,35.0,65.0,7.0,13.0,70567.0,1001.0,1412.5,-129.0,17.5,71568.0
9491.0,1088,20.0,117.0,19.0,2022.0,15.0,39.0,zandvoort,35.0,5.0,19.0,17.0,70567.0,1824.0,1412.5,164.0,17.5,72391.0
9485.0,1088,4.0,214.0,9.0,2022.0,15.0,39.0,zandvoort,45.0,55.00000000000001,9.0,12.0,70567.0,1100.0,1140.5,-132.0,-260.0,71667.0
9484.0,1088,839.0,214.0,13.0,2022.0,15.0,39.0,zandvoort,45.0,35.0,13.0,7.0,70567.0,1181.0,1140.5,-388.0,-260.0,71748.0
9487.0,1088,848.0,3.0,10.0,2022.0,15.0,39.0,zandvoort,25.0,50.0,10.0,20.0,70567.0,1128.0,1957.0,0.0,0.0,71695.0
9492.0,1088,849.0,3.0,20.0,2022.0,15.0,39.0,zandvoort,25.0,0.0,20.0,5.0,70567.0,2786.0,1957.0,-474.0,-329.5,73353.0
9480.0,1088,854.0,210.0,12.0,2022.0,15.0,39.0,zandvoort,25.0,40.0,12.0,19.0,70567.0,1174.0,1463.0,820.0,1064.0,71741.0
9490.0,1088,825.0,210.0,18.0,2022.0,15.0,39.0,zandvoort,25.0,10.0,18.0,20.0,70567.0,1752.0,1463.0,0.0,0.0,72319.0
9486.0,1088,855.0,51.0,15.0,2022.0,15.0,39.0,zandvoort,22.5,25.0,15.0,20.0,70567.0,1259.0,1326.5,0.0,0.0,71826.0
9488.0,1088,822.0,51.0,16.0,2022.0,15.0,39.0,zandvoort,22.5,20.0,16.0,8.0,70567.0,1394.0,1326.5,-348.0,-400.5,71961.0
10133.0,1124,844.0,6.0,0.0,2024.0,15.0,39.0,zandvoort,100.0,100.0,0.0,4.0,70567.0,,,876.0,1038.0,
10136.0,1124,832.0,6.0,0.0,2024.0,15.0,39.0,zandvoort,100.0,100.0,0.0,14.0,70567.0,,,1200.0,1038.0,
10134.0,1124,830.0,9.0,0.0,2024.0,15.0,39.0,zandvoort,100.0,100.0,0.0,1.0,70567.0,,,750.0,912.0,
10139.0,1124,815.0,9.0,0.0,2024.0,15.0,39.0,zandvoort,100.0,100.0,0.0,8.0,70567.0,,,1074.0,912.0,
10135.0,1124,1.0,131.0,0.0,2024.0,15.0,39.0,zandvoort,100.0,100.0,0.0,2.0,70567.0,,,764.0,879.0,
