qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,previous_year_position_q2,q2,position_q2
10135.0,1.0,131.0,2024.0,15.0,39.0,2.0,2.0,70567.0,764.0,879.0,0,-256.0,-496.5,10.0,71699.01,1.0
10140.0,847.0,131.0,2024.0,15.0,39.0,12.0,6.0,70567.0,994.0,879.0,0,-737.0,-496.5,7.0,71719.35,4.0
10137.0,4.0,117.0,2024.0,15.0,39.0,3.0,9.0,70567.0,1100.0,1140.5,0,-54.0,-98.5,18.0,71713.54,3.0
10152.0,807.0,213.0,2024.0,15.0,39.0,1.0,20.0,70567.0,0.0,0.0,0,0.0,0.0,20.0,71730.27,6.0
10151.0,817.0,213.0,2024.0,15.0,39.0,7.0,17.0,70567.0,1514.0,1251.5,0,0.0,-220.0,3.0,71734.6,7.0
10141.0,852.0,213.0,2024.0,15.0,39.0,12.0,3.0,70567.0,860.0,999.0,0,1.0,-96.0,15.0,71711.055,2.0
10139.0,815.0,9.0,2024.0,15.0,39.0,5.0,8.0,70567.0,1074.0,912.0,0,-327.0,-358.5,12.0,71737.83,10.0
10134.0,830.0,9.0,2024.0,15.0,39.0,10.0,1.0,70567.0,750.0,912.0,0,-390.0,-358.5,8.0,71735.89,8.0
10142.0,822.0,51.0,2024.0,15.0,39.0,4.0,16.0,70567.0,1394.0,1326.5,0,0.0,-61.0,3.0,71741.26,12.0
10149.0,855.0,51.0,2024.0,15.0,39.0,8.0,15.0,70567.0,1259.0,1326.5,0,-122.0,-61.0,19.0,71756.05,15.0
10147.0,825.0,210.0,2024.0,15.0,39.0,6.0,18.0,70567.0,1752.0,1463.0,0,0.0,-160.5,3.0,71726.055,5.0
10136.0,832.0,6.0,2024.0,15.0,39.0,10.0,14.0,70567.0,1200.0,1038.0,0,-953.0,-704.0,6.0,71754.54,14.0
10133.0,844.0,6.0,2024.0,15.0,39.0,9.0,4.0,70567.0,876.0,1038.0,0,-455.0,-704.0,9.0,71742.34,13.0
10144.0,839.0,214.0,2024.0,15.0,39.0,15.0,13.0,70567.0,1181.0,1140.5,0,-143.0,-98.5,17.0,71738.29,11.0
10143.0,842.0,214.0,2024.0,15.0,39.0,15.0,11.0,70567.0,1138.0,999.0,0,-193.0,-96.0,16.0,71737.81,9.0
10138.0,857.0,1.0,2024.0,15.0,39.0,14.0,20.0,70567.0,0.0,0.0,0,0.0,0.0,20.0,71760.695,16.0
