qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,driver_q3vsq2,car_q3vsq2,previous_driver_q3vsq2,previous_car_q3vsq2,position_q3,previous_year_position_q3,q1,q2,q3
8975.0,1064,1.0,131.0,6.0,2021.0,13.0,39.0,zandvoort,65.0,70.0,6.0,20.0,70567.0,-453.0,-400.5,0.0,0.0,0,-388.0,-419.0,0.0,0.0,9.0,20.0,0,-803.0,-675.0,0.0,0.0,12.0,20.0,70114.0,69726.0,68923.0
8976.0,1064,822.0,131.0,8.0,2021.0,13.0,39.0,zandvoort,65.0,60.0,8.0,20.0,70567.0,-348.0,-400.5,0.0,0.0,0,-450.0,-419.0,0.0,0.0,10.0,20.0,0,-547.0,-675.0,0.0,0.0,13.0,20.0,70219.0,69769.0,69222.0
8982.0,1064,4.0,214.0,12.0,2021.0,13.0,39.0,zandvoort,52.5,40.0,12.0,20.0,70567.0,-132.0,-260.0,0.0,0.0,0,-415.0,-337.5,0.0,0.0,14.0,20.0,1,-64.0,-25.0,0.0,0.0,19.0,20.0,70435.0,70020.0,69956.0
8981.0,1064,839.0,214.0,7.0,2021.0,13.0,39.0,zandvoort,52.5,65.0,7.0,20.0,70567.0,-388.0,-260.0,0.0,0.0,0,-260.0,-337.5,0.0,0.0,13.0,20.0,1,14.0,-25.0,0.0,0.0,18.0,20.0,70179.0,69919.0,69933.0
8991.0,1064,9.0,51.0,18.0,2021.0,13.0,39.0,zandvoort,45.0,10.0,18.0,20.0,70567.0,734.0,108.5,0.0,0.0,1,0.0,-8.5,0.0,0.0,18.0,20.0,1,0.0,-221.5,0.0,0.0,5.5,20.0,71301.0,0.0,0.0
8980.0,1064,841.0,51.0,4.0,2021.0,13.0,39.0,zandvoort,45.0,80.0,4.0,20.0,70567.0,-517.0,108.5,0.0,0.0,0,-17.0,-8.5,0.0,0.0,15.0,20.0,1,-443.0,-221.5,0.0,0.0,17.0,20.0,70050.0,70033.0,69590.0
8990.0,1064,20.0,117.0,17.0,2021.0,13.0,39.0,zandvoort,25.0,15.0,17.0,20.0,70567.0,164.0,17.5,0.0,0.0,1,0.0,-35.5,0.0,0.0,17.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,70731.0,0.0,0.0
8985.0,1064,840.0,117.0,13.0,2021.0,13.0,39.0,zandvoort,25.0,35.0,13.0,20.0,70567.0,-129.0,17.5,0.0,0.0,0,-71.0,-35.5,0.0,0.0,17.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,70438.0,70367.0,0.0
8989.0,1064,815.0,9.0,16.0,2021.0,13.0,39.0,zandvoort,52.5,20.0,16.0,20.0,70567.0,-37.0,-284.0,0.0,0.0,1,0.0,-482.5,0.0,0.0,16.0,20.0,1,0.0,-93.0,0.0,0.0,5.5,20.0,70530.0,0.0,0.0
8974.0,1064,830.0,9.0,3.0,2021.0,13.0,39.0,zandvoort,52.5,85.0,3.0,20.0,70567.0,-531.0,-284.0,0.0,0.0,0,-965.0,-482.5,0.0,0.0,6.0,20.0,0,-186.0,-93.0,0.0,0.0,11.0,20.0,70036.0,69071.0,68885.0
