qualifyid,driverid,constructorid,year,round,circuitid,position_q1,previous_year_position_q1,circuitref_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,previous_driver_q3vsq2,previous_car_q3vsq2,previous_year_position_q3,q3,position_q3
10135.0,1.0,131.0,2024.0,15.0,39.0,2.0,2.0,70567.0,764.0,879.0,0,-256.0,-496.5,1.0,10.0,0,-427.0,-52.0,15.0,70940.07,4.0
10140.0,847.0,131.0,2024.0,15.0,39.0,12.0,6.0,70567.0,994.0,879.0,0,-737.0,-496.5,4.0,7.0,0,323.0,-52.0,17.0,71027.78,9.0
10137.0,4.0,117.0,2024.0,15.0,39.0,3.0,9.0,70567.0,1100.0,1140.5,0,-54.0,-98.5,3.0,18.0,0,0.0,0.0,6.0,70937.94,2.0
10152.0,807.0,213.0,2024.0,15.0,39.0,1.0,20.0,70567.0,0.0,0.0,0,0.0,0.0,6.0,20.0,0,0.0,0.0,20.0,70951.055,6.0
10151.0,817.0,213.0,2024.0,15.0,39.0,7.0,17.0,70567.0,1514.0,1251.5,0,0.0,-220.0,7.0,3.0,0,0.0,29.0,6.0,70952.055,7.0
10141.0,852.0,213.0,2024.0,15.0,39.0,12.0,3.0,70567.0,860.0,999.0,0,1.0,-96.0,2.0,15.0,0,1128.0,564.0,20.0,71029.2,10.0
10139.0,815.0,9.0,2024.0,15.0,39.0,5.0,8.0,70567.0,1074.0,912.0,0,-327.0,-358.5,10.0,12.0,0,-237.0,-411.0,16.0,70940.94,5.0
10134.0,830.0,9.0,2024.0,15.0,39.0,10.0,1.0,70567.0,750.0,912.0,0,-390.0,-358.5,8.0,8.0,0,-585.0,-411.0,12.0,70925.14,1.0
10147.0,825.0,210.0,2024.0,15.0,39.0,6.0,18.0,70567.0,1752.0,1463.0,0,0.0,-160.5,5.0,3.0,0,0.0,11.0,6.0,70939.39,3.0
10143.0,842.0,214.0,2024.0,15.0,39.0,15.0,11.0,70567.0,1138.0,999.0,0,-193.0,-96.0,9.0,16.0,0,0.0,564.0,6.0,70954.37,8.0
