predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
78636.04,76115.43080815976,76252.30873162544,76389.0931683412,78517.0,78097.4,7.0,2.0,1.0,5.0,1.0,3.0
78636.04,76461.64744043979,76508.31372806453,76552.232260147,78714.0,78152.2,7.0,4.0,4.0,8.0,12.0,14.0
78652.05,75860.79556542332,79120.06525520969,82693.88654734963,78714.0,78985.0,14.0,1.0,20.0,20.0,12.0,18.0
78714.1,76887.31974393828,76889.92221321422,76883.2735958902,78714.0,78285.2,20.0,10.0,10.0,18.0,12.0,17.0
78682.14,76643.72940326086,76750.70934039832,76865.46616922866,78714.0,79244.2,17.0,5.0,6.0,17.0,12.0,20.0
78641.69,76874.54006550903,76852.05867209425,76829.97105743404,78517.0,78187.4,9.0,9.0,9.0,15.0,1.0,15.0
78682.14,76781.50044759782,76811.00378928904,76837.60138164018,78714.0,79168.0,17.0,8.0,8.0,16.0,12.0,19.0
78624.35,77235.4124056052,77040.75685625465,76823.65237143886,78517.0,78054.6,3.0,14.0,15.0,13.0,1.0,1.0
78648.85,76450.21688943123,76406.38548119448,76337.52509553533,78517.0,78097.4,11.0,3.0,3.0,4.0,1.0,3.0
78635.81,77231.00628463458,76945.80403179012,76618.42695406778,78517.0,78097.4,6.0,13.0,11.0,11.0,1.0,3.0
78633.15,76657.14927120437,76336.95793710579,75967.2597713676,78517.0,78097.4,5.0,6.0,2.0,1.0,1.0,3.0
78675.71,77601.68524475093,76953.50241619418,76228.97787923098,78714.0,78267.2,15.0,19.0,12.0,2.0,12.0,16.0
78681.02,77744.00426329905,77119.53859526734,76425.26647116774,78714.0,78097.4,16.0,20.0,17.0,6.0,12.0,3.0
78691.81,76738.56029361812,76556.83582536201,76333.02524383418,78714.0,78097.4,19.0,7.0,5.0,3.0,12.0,3.0
78648.01,77379.98823057837,76985.9326798179,76532.58174936863,78517.0,78097.4,10.0,16.0,13.0,7.0,1.0,3.0
78620.24,76899.16466088826,76756.84131575748,76588.15799163561,78517.0,78097.4,2.0,11.0,7.0,10.0,1.0,3.0
78627.54,77170.77739153313,77005.09883503907,76824.43466358673,78517.0,78054.6,4.0,12.0,14.0,14.0,1.0,1.0
78613.06,77344.66100477171,77284.31640111469,77212.97130635928,78714.0,78097.4,1.0,15.0,19.0,19.0,12.0,3.0
78648.945,77484.32925710222,77149.86992886802,76774.60371120955,78517.0,78097.4,12.0,18.0,18.0,12.0,1.0,3.0
78649.65,77451.46099286457,77048.35436460876,76582.75586440397,78517.0,78097.4,13.0,17.0,16.0,9.0,1.0,3.0
