predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
91409.51,97749.72254139185,90050.37463245995,93789.72624018416,91094.0,91711.2,18.0,6.0,4.0,20.0,10.0,11.0
91382.93,97776.88022147864,90205.99667317746,93785.13782676123,90993.0,92101.6,16.0,10.0,8.0,19.0,1.0,20.0
91343.11,97692.45706995204,89961.51744007785,93616.1978734918,90993.0,91791.0,14.0,2.0,2.0,15.0,1.0,19.0
91256.09,97784.10482985526,90207.22698190162,93604.30572587065,90993.0,91443.6,6.0,13.0,9.0,14.0,1.0,7.0
91268.305,97726.46993869916,89933.84550249646,93454.72403960489,90993.0,91608.2,9.0,3.0,1.0,7.0,1.0,10.0
91393.99,97782.6761951223,90278.49814320944,93689.19785267487,91094.0,91771.8,17.0,12.0,12.0,16.0,10.0,18.0
91420.73,97756.29672104865,90148.55369916331,93571.88459460065,90993.0,91732.6,20.0,9.0,6.0,13.0,1.0,13.0
91418.66,97890.2453840822,90549.61845279305,93704.31532229483,91094.0,91711.2,19.0,19.0,15.0,17.0,10.0,11.0
91223.73,97753.49141712114,90047.87241069047,93480.80897131935,91094.0,91535.6,1.0,7.0,3.0,9.0,10.0,9.0
91249.414,97742.42263998091,90317.40135001164,93295.24526509643,91094.0,91355.6,5.0,5.0,13.0,1.0,10.0,1.0
91333.74,97598.3346006982,90128.59478850767,93298.43399165757,91094.0,91736.6,12.0,1.0,5.0,2.0,10.0,14.0
91236.59,97883.68618011102,90718.71964599116,93394.4281250462,90993.0,91372.8,2.0,18.0,20.0,5.0,1.0,6.0
91349.1,97755.92689567804,90710.48288692231,93308.41190004908,90993.0,91736.6,15.0,8.0,19.0,3.0,1.0,14.0
91241.984,97778.85021262243,90267.73524468695,93510.9004211817,90993.0,91736.6,3.0,11.0,11.0,11.0,1.0,14.0
91257.67,97875.61713948101,90582.69759302697,93464.92423105612,91094.0,91355.6,7.0,16.0,16.0,8.0,10.0,1.0
91266.79,97852.5314929448,90224.20652216166,93500.37216661498,91094.0,91488.0,8.0,14.0,10.0,10.0,10.0,8.0
91297.23,97736.13828023523,90196.14294514927,93384.90551881678,91094.0,91355.6,10.0,4.0,7.0,4.0,10.0,1.0
91334.164,98051.74882744998,90486.22689460719,93754.11141552962,90993.0,91356.4,13.0,20.0,14.0,18.0,1.0,5.0
91325.484,97860.56141101196,90610.9157436543,93527.2140799053,91094.0,91736.6,11.0,15.0,17.0,12.0,10.0,14.0
91248.805,97881.270794224,90624.50774472521,93429.1188305039,91094.0,91355.6,4.0,17.0,18.0,6.0,10.0,1.0
