predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
104070.09,88061.76454112213,95244.64800984133,105675.65055493504,102722.0,103317.6,6.0,1.0,1.0,1.0,1.0,16.0
104096.47,88319.31751325843,95476.57349468651,105855.32528858678,102865.0,103102.8,9.0,3.0,3.0,8.0,5.0,10.0
103933.99,88182.09943737648,95334.21778477938,105716.98713939622,102722.0,103317.6,2.0,2.0,2.0,3.0,1.0,16.0
103918.36,88796.33350229613,95742.37562098703,105817.0919805252,102733.0,103102.8,1.0,7.0,7.0,6.0,3.0,10.0
104087.09,88384.29945643456,95479.4603795798,105769.58453904162,102957.0,103346.2,8.0,4.0,4.0,5.0,17.0,19.0
104206.26,89103.64756227867,96040.31857615546,106102.94769039235,102957.0,103212.0,17.0,9.0,9.0,14.0,17.0,15.0
104059.65,88667.60185942054,95622.48756593163,105711.32392242405,102733.0,103317.6,5.0,6.0,6.0,2.0,3.0,16.0
104211.27,89591.95547063975,96405.25363473198,106273.03651966885,102865.0,102818.4,18.0,12.0,12.0,16.0,5.0,8.0
104125.42,88510.48712085816,95610.58659608848,105903.51917627602,102865.0,102176.6,13.0,5.0,5.0,9.0,5.0,3.0
104113.86,89627.58963274048,96280.72560382867,105922.40293823625,102957.0,102642.6,11.0,13.0,10.0,10.0,17.0,6.0
104276.766,90290.45612329897,97725.16291882424,108197.43160205212,102865.0,103389.6,20.0,18.0,20.0,20.0,5.0,20.0
103989.79,90487.40186364623,96714.67863076506,105720.47515967893,102865.0,103155.0,3.0,19.0,17.0,4.0,5.0,13.0
104042.016,90555.78287794557,96805.90862004017,105837.14782346596,102865.0,102294.6,4.0,20.0,18.0,7.0,5.0,4.0
104080.66,89067.94008601294,96012.34898977401,106074.37424336188,102865.0,102104.6,7.0,8.0,8.0,13.0,5.0,1.0
104235.81,89941.07054647128,96590.16821368877,106213.7009423271,102865.0,102104.6,19.0,16.0,15.0,15.0,5.0,1.0
104119.484,89379.13283361401,96374.79314516066,106506.29133023295,102865.0,103131.4,12.0,10.0,11.0,18.0,5.0,12.0
104177.35,89556.10470723803,96441.99966807337,106424.22826148686,102865.0,102390.2,16.0,11.0,13.0,17.0,5.0,5.0
104162.31,89915.64477444044,97009.56696012942,107293.4847342096,102865.0,103184.0,15.0,15.0,19.0,19.0,5.0,14.0
104109.195,89874.39429636137,96450.32634826284,105976.05332385711,102957.0,102945.0,10.0,14.0,14.0,11.0,17.0,9.0
104125.42,90082.41467624577,96608.61575963255,106056.50551685237,102865.0,102642.6,13.0,17.0,16.0,12.0,5.0,6.0
