predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
73693.35,88236.9386133214,74825.64181431546,93153.95164119752,72937.0,75173.4,3.0,15.0,2.0,20.0,1.0,2.0
73716.21,88077.9230970057,75035.08666818147,92927.71387252756,72937.0,75173.4,16.0,6.0,4.0,15.0,1.0,2.0
73705.03,88118.21232107462,74864.97034089128,93027.27632575092,72937.0,75173.4,9.0,7.0,3.0,18.0,1.0,2.0
73703.44,88228.29432646843,75372.02393094846,92944.72616192585,72937.0,75173.4,6.0,13.0,8.0,16.0,1.0,2.0
73475.375,87957.92019650782,74825.5317374561,92827.63263151536,72937.0,75173.4,1.0,1.0,1.0,11.0,1.0,2.0
73677.06,88195.71643773705,75391.37025373569,92897.4839736053,72937.0,75173.4,2.0,11.0,9.0,14.0,1.0,2.0
73704.26,88050.02850895654,75063.206882481,92830.57690345464,72937.0,75173.4,8.0,5.0,5.0,12.0,1.0,2.0
73710.445,88238.57078817813,75864.94298453652,92769.31336880903,72937.0,75173.4,12.0,16.0,13.0,8.0,1.0,2.0
73747.22,88225.28943776648,75287.56495806924,92974.44687740563,72937.0,75173.4,19.0,12.0,6.0,17.0,1.0,2.0
73698.08,88180.97815703013,76006.551462678,92670.05273481854,72937.0,75173.4,5.0,8.0,14.0,6.0,1.0,2.0
73697.48,88013.41105474625,75342.65629950445,92631.36121353842,72937.0,75173.4,4.0,4.0,7.0,4.0,1.0,2.0
73707.29,87986.63032651675,76526.05888060923,92178.64376161835,72937.0,73656.4,10.0,3.0,20.0,1.0,1.0,1.0
73707.29,87978.61443160748,76339.67110599182,92232.63396805059,72937.0,75173.4,10.0,2.0,18.0,2.0,1.0,2.0
73703.44,88256.30880894564,75637.73060996621,92871.99779529357,72937.0,75173.4,6.0,18.0,11.0,13.0,1.0,2.0
73724.97,88239.31846247282,76273.09193729982,92626.75227713163,72937.0,75173.4,17.0,17.0,17.0,3.0,1.0,2.0
73713.305,88191.53761504538,75609.2868886597,92810.42483286755,72937.0,75173.4,14.0,10.0,10.0,10.0,1.0,2.0
73710.98,88188.38885588729,75700.560067198,92773.97011780404,72937.0,75173.4,13.0,9.0,12.0,9.0,1.0,2.0
73729.66,88525.35070727154,76129.98908166843,93044.97356040025,72937.0,75173.4,18.0,20.0,15.0,19.0,1.0,2.0
73713.42,88232.68272233865,76196.14597904636,92654.50143169414,72937.0,75173.4,15.0,14.0,16.0,5.0,1.0,2.0
73788.52,88376.00510062097,76474.3390235682,92685.24586463114,72937.0,75173.4,20.0,19.0,19.0,7.0,1.0,2.0
