predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
78375.484,77838.18368797295,78391.22747383045,79071.89311672341,78318.0,78575.0,14.0,2.0,3.0,6.0,3.0,3.0
78379.29,77986.99820252438,78482.50844178372,79091.6887823812,78318.0,78575.0,15.0,5.0,5.0,10.0,3.0,3.0
78374.17,77922.67098318215,78451.96287374,79105.40352156165,78318.0,78575.0,13.0,4.0,4.0,13.0,3.0,3.0
78366.52,78149.49358067487,78585.29680682701,79120.76131963893,78318.0,78575.0,11.0,8.0,8.0,14.0,3.0,3.0
78352.875,77817.30374636163,78315.19799501757,78919.5214265598,78318.0,78615.6,6.0,1.0,1.0,1.0,3.0,11.0
78340.24,78096.77376772324,78550.75498346443,79096.69050726092,78318.0,78607.6,5.0,7.0,7.0,11.0,3.0,10.0
78362.836,77909.15516177297,78366.68744232587,78920.23799541467,78318.0,78554.8,9.0,3.0,2.0,2.0,3.0,2.0
78370.57,78380.87472515483,78732.67473059217,79154.56677705044,78318.0,78643.0,12.0,14.0,14.0,16.0,3.0,13.0
78274.664,78040.68873042206,78505.63879904331,79074.18060358336,78318.0,78575.0,4.0,6.0,6.0,7.0,3.0,3.0
78365.516,78390.21745837049,78707.39132338745,79087.98579295272,78318.0,78550.8,10.0,15.0,13.0,8.0,3.0,1.0
78352.984,78246.33958820277,78603.45018494921,79026.88065522833,78716.0,78776.8,7.0,10.0,9.0,5.0,15.0,19.0
78437.91,78738.47332587221,78904.02288336307,79088.77244092697,78716.0,78776.8,16.0,19.0,18.0,9.0,15.0,19.0
78439.766,78832.87788007804,78974.56292837777,79133.49759094766,78716.0,78599.2,17.0,20.0,20.0,15.0,15.0,9.0
78360.89,78231.97621762217,78626.03804885031,79102.49930173704,78318.0,78658.0,8.0,9.0,10.0,12.0,3.0,16.0
78271.49,78650.6568310326,78908.07236729603,79220.74965496996,78318.0,78575.0,3.0,18.0,19.0,17.0,3.0,3.0
78456.51,78358.21216261736,78757.07686147053,79239.46982384795,78716.0,78734.4,18.0,11.0,15.0,19.0,15.0,18.0
78456.93,78378.68353722338,78761.4350853085,79221.44141137085,78716.0,78623.6,19.0,13.0,16.0,18.0,15.0,12.0
78566.516,78406.72714583063,78827.31143729424,79332.10824792853,78922.0,78653.2,20.0,16.0,17.0,20.0,20.0,14.0
78211.37,78360.51558855874,78659.14694675838,79009.18810960973,78143.0,78653.2,1.0,12.0,11.0,4.0,1.0,14.0
78220.664,78435.53033509466,78698.44437067799,79001.39420177163,78143.0,78681.6,2.0,17.0,12.0,3.0,1.0,17.0
