predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
82216.87,80034.6002263138,82496.81170644495,84970.08740661616,82338.0,78798.0,13.0,1.0,1.0,3.0,5.0,4.0
82186.54,80290.23987742828,82676.83022953279,85070.64536998127,82338.0,78798.0,4.0,4.0,6.0,6.0,5.0,4.0
82190.69,80128.21081855532,82566.02450669627,85013.1798689148,82338.0,78798.0,6.0,2.0,3.0,5.0,5.0,4.0
82195.47,80553.46127312409,82864.64278788678,85179.14764179659,82338.0,78798.0,9.0,7.0,7.0,8.0,5.0,4.0
82195.47,80144.63585402677,82559.17121902946,84964.13840412546,82338.0,78701.2,9.0,3.0,2.0,2.0,5.0,2.0
82221.12,80739.89157250256,83063.00817677705,85381.1981468368,82338.0,79161.8,15.0,9.0,10.0,12.0,5.0,13.0
82195.47,80290.67561674025,82633.31483880512,84973.16444161031,82338.0,78729.6,9.0,5.0,4.0,4.0,5.0,3.0
82221.12,81136.5776169626,83317.70773454895,85494.28508932094,82338.0,79026.8,15.0,13.0,14.0,15.0,5.0,12.0
82188.77,80528.64243100281,82906.82798822771,85270.18910658915,81971.0,78798.0,5.0,6.0,8.0,9.0,1.0,4.0
82225.49,81160.16507821751,83292.84401386091,85421.95797876597,82338.0,78654.8,19.0,15.0,12.0,13.0,5.0,1.0
82184.4,80918.30220151308,83051.04150347877,85164.18460345574,81971.0,79161.8,2.0,11.0,9.0,7.0,1.0,13.0
82190.69,81684.11195059621,83518.88497255568,85342.95289978592,82338.0,79161.8,6.0,19.0,17.0,10.0,5.0,13.0
82195.47,81803.00169861852,83646.31621175294,85461.21187178246,82338.0,79161.8,9.0,20.0,20.0,14.0,5.0,13.0
82190.69,80866.66180292168,83126.05191663909,85377.45793414995,82338.0,78798.0,6.0,10.0,11.0,11.0,5.0,4.0
82184.4,81412.16739174991,83460.98136873636,85510.74616546123,81971.0,78798.0,2.0,17.0,16.0,16.0,1.0,4.0
82221.12,81047.06678048894,83315.10296454013,85571.27172319882,82338.0,79161.8,15.0,12.0,13.0,17.0,5.0,13.0
82221.12,81150.73443317355,83397.33652677154,85629.23258338106,82338.0,79161.8,15.0,14.0,15.0,19.0,5.0,13.0
82292.69,81281.3928068874,83599.45907290943,85926.89422234739,82338.0,79161.8,20.0,16.0,19.0,20.0,5.0,13.0
82216.87,80584.49204284768,82640.76483721426,84692.25794214595,82338.0,80452.6,13.0,8.0,5.0,1.0,5.0,20.0
82180.15,81524.12458249985,83581.00146927638,85618.04171606686,81971.0,78798.0,1.0,18.0,18.0,18.0,1.0,4.0
