predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
73882.375,85931.24573339762,85845.68293919113,85843.14390854024,73106.0,73835.6,2.0,9.0,10.0,10.0,1.0,1.0
73907.28,85998.08385720258,85881.68854877829,85854.48386285729,73954.0,73835.6,3.0,11.0,11.0,11.0,12.0,1.0
74077.61,85267.38706773381,85212.47469307024,85228.02493099218,73954.0,73835.6,11.0,4.0,4.0,4.0,12.0,1.0
74043.69,85450.87485766786,85359.68231418429,85347.47842867984,73954.0,73835.6,7.0,5.0,5.0,5.0,12.0,1.0
74223.25,85484.44158343147,85432.65821872487,85455.3168818299,73954.0,73886.8,16.0,6.0,6.0,6.0,12.0,12.0
74083.086,85944.02148178453,85788.10209860947,85728.34259054925,73106.0,73899.8,13.0,10.0,9.0,9.0,1.0,14.0
74073.234,85641.08414172812,85572.5731414329,85582.94278622183,73954.0,73886.8,10.0,7.0,7.0,7.0,12.0,12.0
73927.82,86140.38818077753,85953.80829995137,85870.77059481657,73106.0,73835.6,5.0,12.0,12.0,12.0,1.0,1.0
73961.1,79802.0236011104,80138.64235423009,80393.44323259918,73106.0,74599.4,6.0,1.0,1.0,1.0,1.0,18.0
73763.516,85715.63435046574,85635.44425348063,85632.06506377745,73106.0,73835.6,1.0,8.0,8.0,8.0,1.0,1.0
74313.59,88099.54196920167,87779.05466289067,87606.78886516682,73106.0,73837.2,19.0,20.0,20.0,20.0,1.0,10.0
74305.2,86941.09737645433,86657.4955174614,86498.76137956222,73954.0,73837.2,18.0,19.0,16.0,16.0,12.0,10.0
74243.266,80866.9369808504,81089.43179731655,81255.08323657258,73954.0,74852.6,17.0,3.0,3.0,3.0,12.0,20.0
74111.266,86888.04036102621,86682.44890986312,86591.92198011333,73954.0,73835.6,15.0,16.0,17.0,18.0,12.0,1.0
74071.414,86908.70951722014,86690.5431016879,86587.6517180034,73106.0,73835.6,9.0,18.0,18.0,17.0,1.0,1.0
74082.69,86895.15991671458,86764.45588298254,86731.7090497681,73106.0,74085.0,12.0,17.0,19.0,19.0,1.0,15.0
74111.23,86251.49533631114,86057.94880453126,85969.61385858197,73106.0,74085.0,14.0,14.0,13.0,13.0,1.0,15.0
74314.73,86212.58415040445,86113.73288715245,86102.38355574448,73954.0,74085.0,20.0,13.0,14.0,14.0,12.0,15.0
73916.98,86529.73078671552,86349.97194570565,86275.90288917272,73106.0,73835.6,4.0,15.0,15.0,15.0,1.0,1.0
74071.21,80088.91418386828,80350.56517365425,80545.68173812547,73106.0,74599.4,8.0,2.0,2.0,2.0,1.0,18.0
