predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
85037.32,142335.49742183118,141849.43292794883,142176.24027463433,82304.0,82860.6,1.0,1.0,1.0,1.0,1.0,3.0
85037.32,142487.68477881997,142000.38029498555,142328.01991424046,82304.0,82860.6,1.0,3.0,3.0,3.0,1.0,3.0
85044.414,142393.2102122715,141906.72323533968,142233.8130362106,82398.0,82860.6,7.0,2.0,2.0,2.0,5.0,3.0
85043.05,142648.32042448065,142159.76684174495,142488.24430141982,82398.0,82860.6,5.0,6.0,6.0,6.0,5.0,3.0
85044.234,142605.4023285915,142118.12610597565,142445.65288367507,82398.0,82485.2,6.0,5.0,5.0,5.0,5.0,1.0
85045.93,143112.71962743596,142623.38439580757,142952.39145090524,82398.0,83468.6,10.0,12.0,12.0,12.0,5.0,20.0
85045.38,142663.8224969536,142175.7620139793,142503.81633004814,82398.0,82485.2,9.0,7.0,7.0,7.0,5.0,1.0
85045.93,143323.91299967788,142832.55353538558,143162.9206165641,82398.0,83456.6,10.0,17.0,17.0,17.0,5.0,19.0
85616.25,142582.28798068356,142094.17223610246,142422.36007740325,85859.0,82860.6,18.0,4.0,4.0,4.0,18.0,3.0
85037.32,142994.27232501056,142502.850125845,142833.25961965462,82304.0,82860.6,1.0,10.0,10.0,10.0,1.0,3.0
85107.445,142728.57129071018,142238.359475166,142567.39776678232,82398.0,83193.6,17.0,8.0,8.0,8.0,5.0,13.0
85046.13,143237.3270979005,142742.98202663247,143074.79509800184,82398.0,83193.6,14.0,14.0,14.0,14.0,5.0,13.0
85044.56,143286.29867622332,142791.54022203194,143123.6300721655,82398.0,83193.6,8.0,15.0,15.0,15.0,5.0,13.0
85046.13,142944.85400952998,142454.93369682058,142784.33095278626,82398.0,82860.6,14.0,9.0,9.0,9.0,5.0,3.0
85617.79,143317.82617268356,142825.0130883024,143156.35887542518,85859.0,82860.6,20.0,16.0,16.0,16.0,18.0,3.0
85045.93,143541.21451176686,143050.38855823426,143380.39756340906,82398.0,83193.6,10.0,18.0,18.0,18.0,5.0,13.0
85045.93,143592.23655420874,143100.99727951532,143431.28381645086,82398.0,83193.6,10.0,19.0,19.0,19.0,5.0,13.0
85085.15,144439.087384429,143946.83574981807,144278.3602483269,82398.0,83339.0,16.0,20.0,20.0,20.0,5.0,18.0
85037.32,143105.26840139175,142613.01358726824,142943.9830756375,82304.0,82860.6,1.0,11.0,11.0,11.0,1.0,3.0
85616.25,143211.99926140456,142718.91794613103,143050.44421915698,85859.0,82953.6,18.0,13.0,13.0,13.0,18.0,12.0
