predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
113665.23,109479.67039677006,109508.7440323109,109546.74027630164,113057.0,115654.6,9.0,16.0,16.0,16.0,1.0,13.0
113664.484,109458.4542069716,109487.65541775267,109525.82048584844,113057.0,115654.6,8.0,13.0,13.0,13.0,1.0,13.0
113503.38,109470.90323221036,109500.01891631048,109538.07133245227,113057.0,115654.6,2.0,14.0,14.0,14.0,1.0,13.0
113523.43,109437.27009769261,109466.59867228093,109504.93211744868,113057.0,115654.6,5.0,10.0,10.0,10.0,1.0,13.0
113356.2,109250.38950464723,109279.50615630476,109317.63949844871,113057.0,115286.4,1.0,5.0,5.0,5.0,1.0,3.0
113668.49,109514.17707833835,109543.55226859874,109581.90731990176,113057.0,115611.4,15.0,17.0,17.0,17.0,1.0,11.0
113525.51,109231.83528721832,109261.03732184025,109299.28614926487,113057.0,115286.4,6.0,4.0,4.0,4.0,1.0,3.0
113667.75,109475.09754383616,109504.68579833634,109543.32502123209,113057.0,115611.4,14.0,15.0,15.0,15.0,1.0,11.0
113665.97,109452.77737651783,109482.06529761381,109520.3419607215,113057.0,115654.6,10.0,12.0,12.0,12.0,1.0,13.0
113665.97,109403.45503400339,109433.08426910869,109471.80968300374,113057.0,115654.6,10.0,8.0,8.0,8.0,1.0,13.0
113675.3,108867.93098984263,108897.16214954975,108935.53145711106,113057.0,115424.6,19.0,3.0,3.0,3.0,1.0,5.0
113513.01,108798.93753899407,108828.59421458983,108867.52592468545,113057.0,115424.6,4.0,2.0,2.0,2.0,1.0,5.0
113533.055,108789.79285755224,108819.49174012276,108858.48013829891,113057.0,115424.6,7.0,1.0,1.0,1.0,1.0,5.0
113505.46,109447.24687143974,109476.70477976842,109515.1946587924,113057.0,115074.8,3.0,11.0,11.0,11.0,1.0,1.0
113668.49,109418.81404669592,109448.57286465605,109487.45246390664,113057.0,115074.8,15.0,9.0,9.0,9.0,1.0,1.0
113674.555,109544.05186761261,109573.55648868432,109612.0579832241,113057.0,115424.6,17.0,19.0,19.0,19.0,1.0,5.0
113674.555,109537.32524070906,109566.87243987841,109605.43014022338,113057.0,115424.6,17.0,18.0,18.0,18.0,1.0,5.0
116233.9,110203.44195132525,110233.3050475147,110272.05252873214,113161.0,115424.6,20.0,20.0,20.0,20.0,20.0,5.0
113665.97,109393.93811265222,109423.6529638631,109462.48971051976,113057.0,115654.6,10.0,7.0,7.0,7.0,1.0,13.0
113665.97,109386.01184064691,109415.81269633395,109454.76075225737,113057.0,115654.6,10.0,6.0,6.0,6.0,1.0,13.0
