predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
87494.8,85952.99655035476,85962.37000699062,85972.38394422835,87363.0,88782.8,4.0,1.0,1.0,5.0,1.0,8.0
87459.305,86061.04983419809,86028.98343216587,85994.91727427824,87363.0,88782.8,2.0,6.0,6.0,10.0,1.0,8.0
87455.805,85999.51996031578,85995.24072774913,85991.67688472447,87363.0,88782.8,1.0,2.0,3.0,8.0,1.0,8.0
87473.88,86157.17153407959,86083.83057350089,86004.41897744843,87363.0,88782.8,3.0,7.0,8.0,11.0,1.0,8.0
87605.086,86006.59275450709,86024.2303483212,86040.99267991251,87363.0,89548.4,11.0,3.0,5.0,14.0,1.0,20.0
87659.336,86241.66018615942,86167.88866757508,86084.9905246018,87363.0,88931.2,18.0,9.0,11.0,17.0,1.0,14.0
87605.52,86033.59373792773,86023.92829060357,86008.25861179878,87363.0,89426.0,12.0,4.0,4.0,12.0,1.0,19.0
87634.04,86364.78005053662,86222.47155810503,86062.08504164367,87363.0,87984.6,16.0,12.0,13.0,16.0,1.0,3.0
87540.64,86040.77298534429,85984.20708674414,85915.53619188129,87363.0,87970.0,7.0,5.0,2.0,2.0,1.0,1.0
87538.64,86325.9676327277,86158.52630613599,85971.46414612961,87363.0,88016.4,5.0,11.0,9.0,4.0,1.0,5.0
87660.33,86191.56586427893,86045.2070217132,85880.64793384794,87363.0,87984.6,20.0,8.0,7.0,1.0,1.0,3.0
87605.7,86551.69683479727,86272.41290544008,85967.17550303155,87363.0,88289.2,13.0,18.0,15.0,3.0,1.0,7.0
87606.516,86602.12477906479,86302.07381131622,85975.1799620678,87363.0,88931.2,14.0,19.0,18.0,7.0,1.0,14.0
87604.71,86268.7787970223,86160.06932685757,86040.95419460614,87363.0,88782.8,10.0,10.0,10.0,13.0,1.0,8.0
87659.89,86481.52672069543,86275.38427472173,86048.15906245625,87363.0,88782.8,19.0,17.0,16.0,15.0,1.0,8.0
87633.05,86406.69538188144,86299.52281572745,86181.35390948466,87363.0,88931.2,15.0,14.0,17.0,18.0,1.0,14.0
87597.37,86449.34834224905,86328.39758527634,86196.29088300417,87363.0,88931.2,9.0,16.0,19.0,19.0,1.0,14.0
87635.234,86673.42474181298,86578.84540862613,86477.34156295931,87363.0,88931.2,17.0,20.0,20.0,20.0,1.0,14.0
87538.64,86404.97074664815,86209.77563849214,85993.69141408321,87363.0,88208.8,5.0,13.0,12.0,9.0,1.0,6.0
87543.43,86445.63108928641,86222.8448655075,85974.08330141276,87363.0,87970.0,8.0,15.0,14.0,6.0,1.0,1.0
