predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
72676.88,72909.81792327212,72942.90920559553,73522.14726515932,72642.0,72919.8,17.0,4.0,5.0,12.0,2.0,4.0
72672.77,72980.91103336585,73010.79572242245,73525.77151767368,72642.0,72926.8,12.0,10.0,10.0,13.0,2.0,6.0
72618.46,72901.21560344135,72933.20476281515,73505.6706858476,72642.0,72848.4,1.0,2.0,3.0,11.0,2.0,3.0
72636.14,73030.16980156768,73052.60987057304,73554.09054470561,72642.0,73103.4,7.0,14.0,14.0,19.0,2.0,17.0
72629.87,72959.59737153145,72988.80892126483,73485.66937253224,72642.0,72992.2,5.0,7.0,7.0,8.0,2.0,13.0
72672.086,72974.99755583808,73000.00043290507,73459.73654325008,72642.0,72937.8,9.0,8.0,9.0,6.0,2.0,7.0
72625.15,72996.77152304671,73023.0223730646,73495.04170210086,72642.0,72992.2,3.0,12.0,13.0,9.0,2.0,13.0
72672.086,73079.45531632347,73097.86989837603,73474.8738767255,72642.0,72750.2,9.0,15.0,15.0,7.0,2.0,1.0
72673.445,72991.98267378943,73017.66987698872,73531.67962462909,72642.0,72969.8,14.0,11.0,11.0,15.0,2.0,8.0
72677.56,73151.6707444266,73167.18686036346,73543.22429918974,72642.0,72969.8,18.0,17.0,17.0,16.0,2.0,8.0
72674.39,72757.28394551913,72774.12517907584,73197.85790943046,72642.0,72750.2,15.0,1.0,1.0,1.0,2.0,1.0
72626.48,72938.97030590492,72940.02246124696,73228.81087436168,72642.0,73036.2,4.0,5.0,4.0,3.0,2.0,16.0
72660.266,72903.15236732276,72901.4265217703,73217.63491672867,72642.0,73134.4,8.0,3.0,2.0,2.0,2.0,19.0
72619.9,73003.63898504814,73022.72714616993,73504.05425053864,72642.0,73005.0,2.0,13.0,12.0,10.0,2.0,15.0
72688.54,73149.70658331094,73158.76149177883,73528.26240280169,72642.0,73103.4,20.0,16.0,16.0,14.0,2.0,17.0
72675.53,72954.61390411598,72974.46677053161,73417.31584927395,72642.0,72969.8,16.0,6.0,6.0,4.0,2.0,8.0
72683.44,72978.13127998254,72996.91822436862,73418.44537305353,72642.0,72969.8,19.0,9.0,8.0,5.0,2.0,8.0
72631.625,73205.53658245568,73226.21966399264,73642.57056558198,72386.0,73134.4,6.0,19.0,20.0,20.0,1.0,19.0
72672.09,73201.33317069203,73215.0024950442,73544.07031677125,72642.0,72919.8,11.0,18.0,18.0,17.0,2.0,4.0
72672.8,73205.82455586808,73215.03189112653,73548.84333943677,72642.0,72969.8,13.0,20.0,19.0,18.0,2.0,8.0
