predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
81473.72,80379.45580706897,81597.98159146764,81967.61157481586,80922.0,81730.4,15.0,1.0,2.0,2.0,1.0,2.0
81467.9,80434.86026106431,81617.68216254168,81976.27882373113,80922.0,81979.2,3.0,3.0,3.0,3.0,1.0,3.0
81447.9,80461.10910397535,81648.93885321118,82008.50511872943,80922.0,81606.8,1.0,5.0,4.0,6.0,1.0,1.0
81481.85,80441.26942281885,81596.58747390794,81947.03920852504,80922.0,81979.2,18.0,4.0,1.0,1.0,1.0,3.0
81482.055,80417.09645161347,81651.67146424341,82026.11616986363,80922.0,82223.4,19.0,2.0,5.0,8.0,1.0,6.0
81469.664,80535.65671908105,81665.54660866158,82007.64474572812,80922.0,82113.6,6.0,7.0,7.0,5.0,1.0,5.0
81480.45,80515.80878390028,81718.68352565599,82082.94789683519,80922.0,82297.2,17.0,6.0,9.0,11.0,1.0,16.0
81468.06,80708.23070278327,81831.60905664336,82171.00678962277,80922.0,82281.4,4.0,13.0,16.0,16.0,1.0,7.0
81472.836,80674.15427915932,81889.90373174813,82255.3641080645,80922.0,82331.4,12.0,12.0,17.0,18.0,1.0,17.0
81472.32,80722.13734805654,81796.15905809918,82120.5822321141,80922.0,82281.4,11.0,15.0,13.0,14.0,1.0,7.0
81469.664,80571.29284527258,81686.0669716346,82021.67263547328,80922.0,82281.4,6.0,9.0,8.0,7.0,1.0,7.0
81471.92,80821.98230897152,81810.32332401277,82106.32269672981,80922.0,82281.4,10.0,17.0,14.0,12.0,1.0,7.0
81480.3,80958.53769324493,81955.24711591435,82251.10485868069,80922.0,82356.0,16.0,20.0,18.0,17.0,1.0,19.0
81463.125,80616.98465700465,81767.11718293604,82115.0063813839,80922.0,82281.4,2.0,10.0,12.0,13.0,1.0,7.0
81468.06,80754.79230186366,81760.3098973876,82063.9373022639,80922.0,82281.4,4.0,16.0,11.0,9.0,1.0,7.0
81469.664,80558.25773750845,81660.44688379468,81994.10188129252,80922.0,82281.4,6.0,8.0,6.0,4.0,1.0,7.0
81471.125,80624.58071589796,81739.28469201521,82076.18324032325,80922.0,82281.4,9.0,11.0,10.0,10.0,1.0,7.0
82172.305,80708.32215260866,81824.94446392874,82163.94909343941,80922.0,82281.4,20.0,14.0,15.0,15.0,1.0,7.0
81472.836,80886.4617044878,81958.93017556662,82280.02484476857,80922.0,82356.0,12.0,18.0,19.0,19.0,1.0,19.0
81472.836,80928.76193156594,81972.50798453669,82284.71086609253,80922.0,82331.4,12.0,19.0,20.0,20.0,1.0,17.0
