predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
65590.65,70832.75453374907,65721.05616020758,66739.89600333851,65660.0,65522.8,1.0,15.0,1.0,4.0,5.0,11.0
65599.914,70823.40859274194,65795.35422042239,66789.13591466565,65660.0,65888.0,6.0,12.0,4.0,10.0,5.0,18.0
65640.914,70827.159899313,65755.8270494222,66793.71012714226,65660.0,66124.4,19.0,13.0,2.0,12.0,5.0,19.0
65638.51,70823.0426205732,65828.78419664086,66806.03892650781,65660.0,66124.4,18.0,11.0,8.0,15.0,5.0,19.0
65635.29,70836.41373591125,65774.90690461948,66762.72572158137,65660.0,65472.0,15.0,16.0,3.0,6.0,5.0,9.0
65629.83,70830.49198585004,65870.54708409551,66794.06157543743,65660.0,65522.8,7.0,14.0,9.0,13.0,5.0,11.0
65633.02,70836.42822260037,65808.9812698891,66773.51015954837,65660.0,65472.0,13.0,17.0,6.0,9.0,5.0,9.0
65629.83,70821.50196580216,65943.06630445766,66808.01991927391,65660.0,65379.0,7.0,10.0,11.0,16.0,5.0,1.0
65591.67,70811.47931540757,65799.14242076973,66750.89523120737,65660.0,65522.8,2.0,8.0,5.0,5.0,5.0,11.0
65591.67,70815.5014774017,65944.74405076017,66803.22185119102,65660.0,65522.8,2.0,9.0,12.0,14.0,5.0,11.0
65629.83,70686.46007050201,65818.80150380248,66644.54183707573,65419.0,65379.0,7.0,2.0,7.0,2.0,1.0,1.0
65636.016,70712.78146857768,65969.6375885226,66616.96965481667,65419.0,65752.4,16.0,3.0,15.0,1.0,1.0,17.0
65634.25,70682.4885878861,66002.79665883386,66701.65711899055,65660.0,65379.0,14.0,1.0,19.0,3.0,5.0,1.0
65636.016,70800.86560943723,65873.10868104128,66771.1712261159,65660.0,65379.0,16.0,6.0,10.0,8.0,5.0,1.0
65629.83,70791.54749247804,65977.77753731707,66792.40272488119,65419.0,65379.0,7.0,5.0,17.0,11.0,1.0,1.0
65629.83,70860.41982478648,65970.73913914719,66861.68796512345,65660.0,65522.8,7.0,19.0,16.0,19.0,5.0,11.0
65629.83,70839.8107243292,65945.32218932582,66820.76382849971,65660.0,65522.8,7.0,18.0,13.0,18.0,5.0,11.0
65982.85,70965.41521830484,66072.58982144116,66971.97640153347,66235.0,65409.4,20.0,20.0,20.0,20.0,20.0,8.0
65591.67,70804.70258027315,65983.3535497433,66811.49891308974,65660.0,65379.0,2.0,7.0,18.0,17.0,5.0,1.0
65599.2,70785.19138326496,65967.91633577575,66766.1750714914,65419.0,65379.0,5.0,4.0,14.0,7.0,1.0,1.0
