predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
80440.234,78504.02194895467,80698.95035347712,81127.81596515243,80859.0,80411.4,7.0,4.0,13.0,14.0,1.0,5.0
80445.24,78593.63471262436,80665.96710567818,81070.01543177752,80859.0,80411.4,10.0,7.0,12.0,12.0,1.0,5.0
80445.42,78588.49976122822,80748.38175728403,81170.23450044423,80859.0,80411.4,11.0,6.0,15.0,16.0,1.0,5.0
80445.96,78695.74740306195,80648.53612419698,81028.40211222944,80859.0,80411.4,12.0,9.0,11.0,11.0,1.0,5.0
80405.03,78712.10629045113,80830.19581016355,81243.57753345477,80859.0,80391.2,1.0,10.0,17.0,17.0,1.0,4.0
80442.414,78815.7712492348,80756.05827744302,81133.49816637623,80859.0,80411.4,9.0,12.0,16.0,15.0,1.0,5.0
80450.055,78434.21745472762,80423.50420563183,80809.98483346088,80859.0,80506.2,14.0,2.0,5.0,6.0,1.0,20.0
80441.42,78564.5053285528,80241.92200298778,80565.54901949718,80859.0,80411.4,8.0,5.0,3.0,3.0,1.0,5.0
80461.71,78439.80989433196,80392.5323250059,80767.38378677126,81167.0,80209.6,18.0,3.0,4.0,4.0,17.0,1.0
80451.87,78943.63135839847,80613.89556413032,80937.50898851102,80859.0,80411.4,16.0,15.0,9.0,9.0,1.0,5.0
80432.414,79482.85519679042,81160.89474120567,81485.98923783054,81167.0,80411.4,6.0,18.0,19.0,20.0,17.0,5.0
80427.08,79875.17684597045,81159.83925003365,81405.88947464005,80859.0,80411.4,5.0,19.0,18.0,18.0,1.0,5.0
80425.664,79978.26727870386,81222.28381134501,81455.79895875533,80859.0,80319.6,4.0,20.0,20.0,19.0,1.0,3.0
80445.96,78892.96300040162,80740.10724780253,81099.5041278482,80859.0,80411.4,12.0,14.0,14.0,13.0,1.0,5.0
80451.67,78948.22045645618,80494.21944896171,80792.07837402856,81167.0,80411.4,15.0,16.0,6.0,5.0,17.0,5.0
80416.66,78722.87945292622,80525.49210003737,80874.95062203339,80859.0,80411.4,2.0,11.0,7.0,8.0,1.0,5.0
80422.04,78842.69078744715,80615.38099644214,80959.0188395138,80859.0,80411.4,3.0,13.0,10.0,10.0,1.0,5.0
80462.45,78017.97777544719,79857.74917335047,80214.01575287897,80859.0,80411.4,20.0,1.0,1.0,1.0,1.0,5.0
80454.37,78597.37871394714,80130.26820503276,80425.29698658895,80859.0,80411.4,17.0,8.0,2.0,2.0,1.0,5.0
80462.21,79050.70469940454,80549.71438483796,80834.03613968483,81167.0,80209.6,19.0,17.0,8.0,7.0,17.0,1.0
