predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
91360.85,176746.1225900054,94155.5080397292,127147.01822260022,89143.0,102011.4,6.0,1.0,1.0,14.0,16.0,2.0
91368.38,176880.42361789942,94314.84131082194,125434.96752369404,88917.0,102011.4,8.0,5.0,3.0,8.0,1.0,2.0
91388.3,176826.59857571125,94295.74418907799,126428.38949900866,89143.0,102011.4,13.0,4.0,2.0,11.0,16.0,2.0
91388.3,177059.53061944246,95158.35050627077,124344.47975501418,88917.0,102011.4,13.0,14.0,7.0,3.0,1.0,2.0
91383.95,176763.95757955313,94505.46467419295,127522.4835242331,89143.0,102011.4,10.0,2.0,4.0,18.0,16.0,2.0
91378.914,176790.53050392866,95717.96738738613,128427.40284946561,89143.0,102011.4,9.0,3.0,9.0,20.0,16.0,2.0
91387.33,177037.99106180668,94637.7853179127,124724.8987185657,88917.0,102011.4,12.0,11.0,5.0,6.0,1.0,2.0
91386.625,177008.37660878897,97344.88427757472,127434.15030908585,88917.0,102011.4,11.0,9.0,14.0,16.0,1.0,2.0
91343.6,176927.12501597404,94805.74224942457,125173.26788824797,88917.0,102011.4,4.0,7.0,6.0,7.0,1.0,2.0
91333.3,176913.2184559703,98289.98823281424,128127.61784291267,89143.0,102011.4,3.0,6.0,17.0,19.0,16.0,2.0
91429.13,177305.93555605412,96078.37942647701,123346.86098074913,88917.0,102011.4,20.0,18.0,10.0,2.0,1.0,2.0
91329.91,177668.64575517178,98094.62787323631,121198.14434587955,88917.0,89528.2,2.0,20.0,15.0,1.0,1.0,1.0
91396.45,177541.5496493578,100411.01655894518,124604.04407706857,88917.0,102011.4,17.0,19.0,20.0,5.0,1.0,2.0
91388.3,177084.7030852437,96376.52657046216,125521.4931935072,88917.0,102011.4,13.0,15.0,12.0,9.0,1.0,2.0
91402.73,177286.90144270658,98096.16678572074,124432.50404295325,88917.0,102011.4,19.0,17.0,16.0,4.0,1.0,2.0
91395.75,177006.34147125483,96301.22722894466,127480.95045876503,88917.0,102011.4,16.0,8.0,11.0,17.0,1.0,2.0
91397.42,177032.85099858046,96442.20226041693,127191.33673107624,88917.0,102011.4,18.0,10.0,13.0,15.0,1.0,2.0
90860.234,177057.7270321846,95514.09072964685,126740.51912844181,88917.0,102011.4,1.0,13.0,8.0,12.0,1.0,2.0
91354.8,177045.90890705585,98517.86363687413,126835.23276793957,88917.0,102011.4,5.0,12.0,18.0,13.0,1.0,2.0
91362.11,177135.34367918968,98684.51563889207,125795.30255076289,88917.0,102011.4,7.0,16.0,19.0,10.0,1.0,2.0
