predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
106305.625,102661.2799501576,106459.04139028722,102784.41617969779,105050.0,105861.0,20.0,18.0,20.0,19.0,1.0,7.0
106015.59,102598.56024655874,106004.69996228535,102704.37660944778,105050.0,105861.0,8.0,16.0,17.0,16.0,1.0,7.0
106014.28,102638.58295040362,106295.54582134681,102755.99268439086,105050.0,105861.0,5.0,17.0,19.0,17.0,1.0,7.0
106022.39,102525.74240437217,105537.44344216888,102614.94579207957,105050.0,105861.0,15.0,14.0,14.0,13.0,1.0,7.0
106021.51,102732.00336564814,106236.15261258418,102841.18571231281,105050.0,105861.0,14.0,20.0,18.0,20.0,1.0,7.0
106028.04,102548.9358967964,105415.9557089801,102631.01668554572,105050.0,105861.0,18.0,15.0,13.0,15.0,1.0,7.0
105993.914,102670.35195055911,105898.76296225633,102768.80801902286,105050.0,105861.0,1.0,19.0,16.0,18.0,1.0,7.0
106016.016,102423.46497702498,104624.02038881346,102477.5796929299,105050.0,105842.0,10.0,8.0,8.0,8.0,1.0,3.0
106003.695,102521.52070712342,105636.91183602926,102617.45672993816,105050.0,105861.0,2.0,13.0,15.0,14.0,1.0,7.0
106017.375,102354.72217124506,104423.9590041244,102404.31953054786,105050.0,105842.0,13.0,6.0,6.0,6.0,1.0,3.0
106003.9,102459.81897507989,104785.81688195677,102520.53080581134,105050.0,106268.2,3.0,10.0,10.0,10.0,1.0,20.0
106024.414,102305.01165552577,103274.48680201615,102303.4736154478,105050.0,105991.6,16.0,5.0,2.0,3.0,1.0,17.0
106013.91,102281.02236099649,103060.5313264858,102272.97602802282,105050.0,105926.4,4.0,3.0,1.0,1.0,1.0,16.0
106024.414,102440.63724428913,105000.7951211466,102513.66443454161,105050.0,106074.8,16.0,9.0,12.0,9.0,1.0,19.0
106015.766,102302.41635601709,103937.10508409259,102334.02478330793,105050.0,105777.0,9.0,4.0,4.0,5.0,1.0,2.0
106016.016,102498.74041113027,104937.08199887467,102563.39181301101,105050.0,105842.0,10.0,12.0,11.0,12.0,1.0,3.0
106016.016,102477.55910133562,104785.5503620829,102536.45448211275,105050.0,105842.0,10.0,11.0,9.0,11.0,1.0,3.0
106151.36,102395.15089729677,104584.6055573239,102457.26991997275,105050.0,105759.8,19.0,7.0,7.0,7.0,1.0,1.0
106015.56,102269.88102397739,104023.47082027001,102309.93460284888,105050.0,106030.0,6.0,2.0,5.0,4.0,1.0,18.0
106015.56,102255.43115763438,103721.12534685666,102281.57557534531,105050.0,105863.6,6.0,1.0,3.0,2.0,1.0,15.0
