predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
90678.24,92143.45107943824,92122.37351128162,92055.78940447635,90224.0,90722.6,18.0,3.0,3.0,4.0,1.0,3.0
90676.414,92158.35029606477,92137.10327807923,92069.98382708227,90224.0,90722.6,14.0,6.0,6.0,6.0,1.0,3.0
90674.805,92148.96742397851,92127.83147921988,92061.06367783571,90224.0,90722.6,12.0,5.0,5.0,5.0,1.0,3.0
90667.695,92173.7644317282,92152.34733757602,92084.69116023563,90224.0,90722.6,5.0,8.0,8.0,8.0,1.0,3.0
90657.09,92179.2280188651,92157.8525909221,92090.36966480163,90224.0,90853.4,2.0,9.0,9.0,9.0,1.0,10.0
90674.766,92197.9945892939,92176.55618729086,92108.85032857159,90224.0,91005.2,11.0,12.0,12.0,12.0,1.0,13.0
90657.09,92186.84425701498,92165.35566019159,92097.51275588866,90224.0,90853.4,2.0,10.0,10.0,10.0,1.0,10.0
90673.4,92220.4960360858,92198.77552216867,92130.17588682057,90224.0,91020.0,10.0,15.0,15.0,15.0,1.0,14.0
90677.92,92167.2521436123,92145.89945344448,92078.44447409816,90224.0,90678.6,17.0,7.0,7.0,7.0,1.0,1.0
90678.4,92206.83630411266,92185.03706908395,92116.17073555222,90224.0,90722.6,19.0,13.0,13.0,13.0,1.0,3.0
90669.34,92092.84102722851,92070.92750049243,92002.7832534152,90224.0,91033.0,6.0,1.0,1.0,1.0,1.0,15.0
90665.59,92142.47006268907,92119.99297017792,92050.06810682497,90224.0,91130.4,4.0,2.0,2.0,2.0,1.0,16.0
90654.33,92147.47849218472,92124.94339601164,92054.83544735884,90224.0,91130.4,1.0,4.0,4.0,3.0,1.0,16.0
90671.76,92195.24915956162,92173.67639923899,92105.53431324898,90224.0,90900.6,9.0,11.0,11.0,11.0,1.0,12.0
90675.34,92229.58675483006,92207.63406882688,92138.28999162163,90224.0,90843.4,13.0,18.0,18.0,18.0,1.0,9.0
90669.664,92226.1219857352,92204.53363234445,92136.36651406143,90224.0,91130.4,7.0,16.0,16.0,17.0,1.0,16.0
90669.83,92231.08138728511,92209.43680401568,92141.09201054141,90224.0,91130.4,8.0,19.0,19.0,19.0,1.0,16.0
90901.695,92368.52891954119,92347.15195859029,92278.60170882709,90224.0,91130.4,20.0,20.0,20.0,20.0,1.0,16.0
90677.766,92217.0190079917,92195.10976748657,92125.89592136131,90224.0,90722.6,15.0,14.0,14.0,14.0,1.0,3.0
90677.766,92226.82574721568,92204.80810131475,92135.25127076951,90224.0,90678.6,15.0,17.0,17.0,16.0,1.0,1.0
