predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
82001.44,75575.2848987655,74791.73051001481,74200.50921998953,81554.0,84880.4,2.0,2.0,18.0,20.0,2.0,2.0
82053.15,75585.20955259004,74742.19772065012,74105.2610149837,81554.0,84880.4,15.0,4.0,14.0,18.0,2.0,2.0
82032.805,75615.29356922547,74796.18762669154,74181.48786470329,81554.0,84880.4,8.0,6.0,20.0,19.0,2.0,2.0
82042.26,75705.45357853081,74785.24907184474,74087.58114416793,81554.0,84880.4,12.0,10.0,17.0,17.0,2.0,2.0
82024.766,75579.32242600818,74667.84125711222,73981.53764207609,81554.0,89299.4,6.0,3.0,9.0,14.0,2.0,20.0
81997.03,75772.73231988656,74794.05838819977,74057.1769201922,81554.0,85385.2,1.0,14.0,19.0,15.0,2.0,14.0
82019.89,75594.7810446336,74640.4476135365,73926.6632254817,81554.0,89110.0,4.0,5.0,5.0,11.0,2.0,19.0
82009.13,75772.86619848479,74701.31154557865,73894.62415767385,81554.0,85385.2,3.0,15.0,12.0,9.0,2.0,14.0
82093.47,75632.5946678234,74744.22440465179,74074.81947716791,81554.0,84880.4,19.0,7.0,15.0,16.0,2.0,2.0
82039.09,75818.11684692767,74738.32467136113,73929.88747942593,81554.0,84880.4,11.0,18.0,13.0,12.0,2.0,2.0
82048.766,75500.64358010539,74483.20859437087,73725.86011508066,81554.0,84881.2,14.0,1.0,2.0,3.0,2.0,12.0
82033.98,75778.00124583801,74581.81563109276,73699.49443943857,81554.0,82324.2,9.0,16.0,3.0,2.0,2.0,1.0
82054.164,75760.55240902037,74482.10182738409,73530.27773210086,81554.0,84881.2,16.0,12.0,1.0,1.0,2.0,12.0
82042.26,75643.66823433165,74655.79192525172,73919.20359058009,81554.0,84880.4,12.0,8.0,8.0,10.0,2.0,2.0
82076.28,75757.48812038056,74624.29594271956,73774.71737269405,81554.0,84880.4,18.0,11.0,4.0,4.0,2.0,2.0
82022.08,75690.02711074089,74649.3039787641,73867.70345710783,81554.0,85593.8,5.0,9.0,6.0,7.0,2.0,16.0
82031.914,75771.54481277883,74691.06539795629,73885.00104119431,81554.0,85593.8,7.0,13.0,10.0,8.0,2.0,16.0
82070.305,75897.14616877725,74780.22491721029,73944.33022492798,80851.0,85593.8,17.0,20.0,16.0,13.0,1.0,16.0
82038.414,75825.91529015696,74700.09297781496,73862.96531652333,81554.0,84880.4,10.0,19.0,11.0,6.0,2.0,2.0
82093.59,75799.34267366864,74651.89582345006,73790.01244920498,81554.0,84880.4,20.0,17.0,7.0,5.0,2.0,2.0
