predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
85547.49,87039.70788862895,87088.83935800212,87108.97138312433,85387.0,85714.8,14.0,10.0,11.0,11.0,1.0,3.0
85538.1,87071.14402427022,87116.0528701906,87134.44337612831,85387.0,85714.8,13.0,14.0,14.0,14.0,1.0,3.0
85525.72,87056.12997861588,87103.99569443423,87123.59875594082,85387.0,85714.8,7.0,12.0,12.0,12.0,1.0,3.0
85523.48,87067.57653494731,87108.4886405125,87125.30438196377,85387.0,85714.8,6.0,13.0,13.0,13.0,1.0,3.0
85521.57,87076.04585666885,87122.78318055459,87142.03764119574,85545.0,85714.8,5.0,15.0,15.0,15.0,10.0,3.0
85549.78,87110.51706857163,87151.03833435607,87167.69859307408,85545.0,85714.8,16.0,17.0,17.0,18.0,10.0,3.0
85520.46,87003.97714993669,87049.20370538627,87068.07883847972,85545.0,85714.8,3.0,8.0,8.0,8.0,10.0,3.0
85531.61,87049.04515237692,87083.59868424703,87098.06614304807,85545.0,85714.8,9.0,11.0,10.0,10.0,10.0,3.0
85510.28,86662.89106117396,86713.00540554777,86734.74565095644,85387.0,85281.4,2.0,4.0,4.0,4.0,1.0,1.0
85503.81,87134.00741748184,87164.80635317996,87177.45281110739,85387.0,85714.8,1.0,19.0,19.0,19.0,1.0,3.0
85554.21,86652.18076372928,86689.09179046338,86704.6012686475,85545.0,85714.8,17.0,3.0,3.0,3.0,10.0,3.0
85525.914,86628.4801421019,86651.9477906735,86662.18423906008,85545.0,85714.8,8.0,2.0,2.0,2.0,10.0,3.0
85537.234,86340.58807608833,86369.09715402155,86382.28680819873,85523.0,85789.0,12.0,1.0,1.0,1.0,9.0,20.0
85520.89,86949.83446939559,86989.09639943195,87005.65991769815,85545.0,85714.8,4.0,6.0,6.0,6.0,10.0,3.0
85549.19,87128.64162764202,87156.1812158593,87167.60583486976,85545.0,85714.8,15.0,18.0,18.0,17.0,10.0,3.0
85536.63,87019.19857343663,87058.26510870171,87074.70824075595,85545.0,85714.8,10.0,9.0,9.0,9.0,10.0,3.0
85536.63,87100.76526014986,87137.34346980596,87152.5699188211,85545.0,85714.8,10.0,16.0,16.0,16.0,10.0,3.0
85654.03,87518.18505690062,87554.95679836307,87570.2034412202,85545.0,85714.8,20.0,20.0,20.0,20.0,10.0,3.0
85554.75,86981.09893903096,87011.60449444572,87024.5943229876,85387.0,85714.8,18.0,7.0,7.0,7.0,1.0,3.0
85561.6,86726.72441552192,86759.94233852702,86774.82371657793,85387.0,85281.4,19.0,5.0,5.0,5.0,1.0,1.0
