predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
72882.55,70800.77875245572,71799.2983539437,72356.79531858841,72391.0,71829.8,9.0,4.0,8.0,13.0,1.0,4.0
72884.04,70709.98476751876,71694.83815034953,72243.79821478194,72391.0,71994.4,10.0,2.0,4.0,4.0,1.0,13.0
72884.04,70884.60695743177,71858.55207170239,72402.49806737022,72391.0,71829.8,10.0,8.0,14.0,18.0,1.0,4.0
72807.586,70913.73400314484,71823.12893868265,72330.42674452579,72391.0,71829.8,5.0,11.0,11.0,11.0,1.0,4.0
72802.6,70899.79561694997,71867.27065957624,72407.08696651673,72391.0,71994.4,2.0,9.0,16.0,20.0,1.0,13.0
72892.77,70976.06324851606,71862.87782142726,72357.52178366492,72391.0,71829.8,12.0,15.0,15.0,15.0,1.0,4.0
72804.04,70825.99904354679,71785.45723156357,72319.98837391465,72391.0,71994.4,3.0,7.0,7.0,10.0,1.0,13.0
72896.445,71022.70304139605,71893.04713692972,72375.92917413107,72391.0,71829.8,17.0,18.0,18.0,17.0,1.0,4.0
72893.766,70501.71705008845,71651.31691626829,72287.43878561957,72391.0,71792.8,14.0,1.0,1.0,6.0,1.0,2.0
72908.86,71106.57959524693,71941.7475588644,72405.64814869154,72391.0,71829.8,19.0,20.0,20.0,19.0,1.0,4.0
72892.77,70905.4505479408,71767.92555967966,72247.69310031975,72391.0,71829.8,12.0,10.0,6.0,5.0,1.0,4.0
72818.555,70937.25279100402,71688.61247587179,72104.41519014475,72391.0,71994.4,7.0,13.0,3.0,1.0,1.0,13.0
72787.555,70735.01128899417,71680.053276303,72198.93837078776,72391.0,71767.0,1.0,3.0,2.0,2.0,1.0,1.0
72806.38,70823.79642850952,71732.92495419759,72238.36289607445,72391.0,71994.4,4.0,6.0,5.0,3.0,1.0,13.0
72881.086,70998.17250300548,71833.03104791942,72295.36142483802,72391.0,71994.4,8.0,17.0,13.0,8.0,1.0,13.0
72895.73,70954.15932288888,71823.92984016932,72307.91658570823,72391.0,71829.8,15.0,14.0,12.0,9.0,1.0,4.0
72895.73,70926.41715839965,71802.94191209403,72289.9236045161,72391.0,71994.4,15.0,12.0,10.0,7.0,1.0,13.0
72817.35,71091.42277384741,71908.4036046643,72363.3379589197,72391.0,71994.4,6.0,19.0,19.0,16.0,1.0,13.0
72910.66,70992.1707084601,71871.27356103976,72356.98503908032,72391.0,71829.8,20.0,16.0,17.0,14.0,1.0,4.0
72896.87,70806.63182013779,71801.59528190496,72349.39625935297,72391.0,71792.8,18.0,5.0,9.0,12.0,1.0,2.0
