qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,q2
9116,1051,1,131,1,2021,20,78,losail,81682.0
9134,1051,854,210,19,2021,20,78,losail,0.0
9133,1051,841,51,18,2021,20,78,losail,0.0
9132,1051,849,3,17,2021,20,78,losail,0.0
9131,1051,8,51,16,2021,20,78,losail,0.0
9130,1051,847,3,15,2021,20,78,losail,82756.0
9129,1051,817,1,14,2021,20,78,losail,82597.0
9128,1051,844,6,13,2021,20,78,losail,82463.0
9127,1051,840,117,12,2021,20,78,losail,82460.0
9126,1051,815,9,11,2021,20,78,losail,82346.0
9125,1051,20,117,10,2021,20,78,losail,82146.0
9124,1051,839,214,9,2021,20,78,losail,82012.0
9123,1051,852,213,8,2021,20,78,losail,82058.0
9122,1051,832,6,7,2021,20,78,losail,82241.0
9121,1051,846,1,6,2021,20,78,losail,82216.0
9120,1051,4,214,5,2021,20,78,losail,81894.0
9119,1051,842,213,4,2021,20,78,losail,81728.0
9118,1051,822,131,3,2021,20,78,losail,81991.0
9135,1051,853,210,20,2021,20,78,losail,0.0
9117,1051,830,9,2,2021,20,78,losail,81984.0
8735,1052,830,9,1,2021,1,3,bahrain,90318.0
8754,1052,853,210,20,2021,1,3,bahrain,0.0
8738,1052,844,6,4,2021,1,3,bahrain,90010.0
8739,1052,842,213,5,2021,1,3,bahrain,90513.0
8740,1052,817,1,6,2021,1,3,bahrain,90222.0
8741,1052,846,1,7,2021,1,3,bahrain,90099.0
8742,1052,832,6,8,2021,1,3,bahrain,90009.0
8743,1052,4,214,9,2021,1,3,bahrain,90595.0
8744,1052,840,117,10,2021,1,3,bahrain,90624.0
8745,1052,815,9,11,2021,1,3,bahrain,90659.0
8746,1052,841,51,12,2021,1,3,bahrain,90708.0
8747,1052,852,213,13,2021,1,3,bahrain,91203.0
8748,1052,8,51,14,2021,1,3,bahrain,91238.0
8749,1052,847,3,15,2021,1,3,bahrain,93430.0
8750,1052,839,214,16,2021,1,3,bahrain,0.0
8751,1052,849,3,17,2021,1,3,bahrain,0.0
8752,1052,20,117,18,2021,1,3,bahrain,0.0
8753,1052,854,210,19,2021,1,3,bahrain,0.0
8737,1052,822,131,3,2021,1,3,bahrain,90186.0
8736,1052,1,131,2,2021,1,3,bahrain,90085.0
8755,1053,1,131,1,2021,2,21,imola,74817.0
