predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
91217.26,87422.58415984735,91877.31492252037,91896.07385141421,90746.0,90732.4,5.0,7.0,7.0,7.0,4.0,1.0
91342.56,87298.31865610555,91793.55618145835,91809.56392540199,90746.0,90894.8,6.0,5.0,5.0,5.0,4.0,2.0
91430.37,87929.28735050559,92297.56091053828,92312.73174581722,91443.0,91044.4,8.0,10.0,9.0,9.0,12.0,11.0
91526.07,88723.8817415759,92906.58948029546,92923.12245667151,91443.0,90900.2,10.0,15.0,15.0,15.0,12.0,3.0
91141.85,87030.54856602475,91326.18247257866,91340.4542265358,90809.0,91997.4,4.0,1.0,1.0,1.0,8.0,15.0
91725.45,88043.25878991559,92480.95364905524,92497.82065989646,91473.0,91372.8,11.0,12.0,12.0,12.0,14.0,14.0
90982.16,87156.52746254951,91581.58290279354,91597.64364000372,90746.0,91005.0,2.0,3.0,3.0,3.0,4.0,10.0
91412.56,87207.0290563181,91629.70679680366,91645.20108410533,90809.0,90987.2,7.0,4.0,4.0,4.0,8.0,4.0
92012.086,87991.057903748,92307.70561694537,92324.00315041785,90507.0,90987.2,12.0,11.0,10.0,10.0,2.0,4.0
91510.805,87433.13237091526,91804.62890867627,91819.84757609444,90809.0,90987.2,9.0,8.0,6.0,6.0,8.0,4.0
91030.46,87422.55284985155,91929.69476956181,91944.93773231277,90746.0,91106.0,3.0,6.0,8.0,8.0,4.0,12.0
90920.24,87840.83055936545,92346.06523413831,92363.7647645067,90282.0,91106.0,1.0,9.0,11.0,11.0,1.0,12.0
92027.09,88156.47788092494,92507.05792010928,92524.87196972736,91127.0,90987.2,13.0,13.0,13.0,13.0,11.0,4.0
92364.836,87051.27298210934,91499.24089154758,91511.62707362945,90507.0,90987.2,14.0,2.0,2.0,2.0,2.0,4.0
92818.805,88228.79089110345,92648.09876199716,92663.71847676116,92664.0,90987.2,15.0,14.0,14.0,14.0,15.0,4.0
